[2025-05-27T13:35:08.533+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T13:35:08.654+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:34:57.809759+00:00 [queued]>
[2025-05-27T13:35:08.684+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:34:57.809759+00:00 [queued]>
[2025-05-27T13:35:08.686+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-27T13:35:08.776+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:34:57.809759+00:00
[2025-05-27T13:35:08.862+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=217) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T13:35:08.808+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-27T13:34:57.809759+00:00', '--job-id', '71', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmphxs4dgxm']
[2025-05-27T13:35:08.865+0000] {standard_task_runner.py:72} INFO - Started process 221 to run task
[2025-05-27T13:35:08.865+0000] {standard_task_runner.py:105} INFO - Job 71: Subtask start_log_producer
[2025-05-27T13:35:09.109+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:35:09.474+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:34:57.809759+00:00 [running]> on host be9b2adc373c
[2025-05-27T13:35:10.040+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:34:57.809759+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-27T13:34:57.809759+00:00'
[2025-05-27T13:35:10.047+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T13:35:10.211+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T13:35:10.220+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/scripts/log_producer.py']
[2025-05-27T13:35:10.271+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T13:37:53.385+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:13', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:37:53.733+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:15', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:37:53.738+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:17', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:37:53.742+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:19', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:37:53.747+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:21', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:37:53.750+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:23', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:37:53.754+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:25', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:37:53.763+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:27', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:37:53.767+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:29', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:37:53.768+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:31', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:37:53.772+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:33', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:37:53.774+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:35', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:37:53.781+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:37', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:37:53.781+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:39', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:37:53.782+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:41', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:37:53.782+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:35:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
