[2025-05-27T13:50:18.577+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T13:50:18.704+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:50:08.941959+00:00 [queued]>
[2025-05-27T13:50:18.744+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:50:08.941959+00:00 [queued]>
[2025-05-27T13:50:18.744+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-27T13:50:18.791+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:50:08.941959+00:00
[2025-05-27T13:50:18.824+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=182) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T13:50:18.830+0000] {standard_task_runner.py:72} INFO - Started process 188 to run task
[2025-05-27T13:50:18.828+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-27T13:50:08.941959+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpzv_zssal']
[2025-05-27T13:50:18.839+0000] {standard_task_runner.py:105} INFO - Job 81: Subtask start_log_producer
[2025-05-27T13:50:18.966+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:50:19.243+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:50:08.941959+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-27T13:50:20.195+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:50:08.941959+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-27T13:50:08.941959+00:00'
[2025-05-27T13:50:20.198+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T13:50:20.304+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T13:50:20.309+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python log_producer.py']
[2025-05-27T13:50:20.328+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T13:53:04.466+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:53:04.690+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:53:04.711+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:28', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:53:04.713+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:30', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:53:04.723+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:53:04.729+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:34', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:53:04.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:36', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:53:04.737+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:53:04.745+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:40', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:53:04.749+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:42', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:53:04.750+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:44', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:53:04.761+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:46', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:53:04.762+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:53:04.766+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:50', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:53:04.767+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:52', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:53:04.767+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:50:54', 'level': 'WARNING', 'message': 'High memory usage'}
