[2025-05-27T13:58:51.676+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T13:58:51.714+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:58:48.211041+00:00 [queued]>
[2025-05-27T13:58:51.734+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:58:48.211041+00:00 [queued]>
[2025-05-27T13:58:51.735+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-27T13:58:51.767+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:58:48.211041+00:00
[2025-05-27T13:58:51.789+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=282) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T13:58:51.784+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-27T13:58:48.211041+00:00', '--job-id', '84', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpb0wb0xfd']
[2025-05-27T13:58:51.792+0000] {standard_task_runner.py:72} INFO - Started process 283 to run task
[2025-05-27T13:58:51.792+0000] {standard_task_runner.py:105} INFO - Job 84: Subtask start_log_producer
[2025-05-27T13:58:51.835+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:58:51.912+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-27T13:58:48.211041+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-27T13:58:52.092+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:58:48.211041+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-27T13:58:48.211041+00:00'
[2025-05-27T13:58:52.096+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T13:58:52.202+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T13:58:52.236+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-27T13:58:52.258+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T13:58:55.130+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:58:55', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:58:57.275+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:58:57', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:58:59.276+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:58:59', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:59:01.276+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:01', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:59:03.277+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:03', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:59:05.278+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:05', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:59:07.278+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:07', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:59:09.276+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:59:11.276+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:11', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:59:13.277+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:13', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:59:15.278+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:15', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:59:17.279+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:17', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:59:19.279+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:59:21.280+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:21', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:59:23.281+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:23', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:59:25.281+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:59:25', 'level': 'INFO', 'message': 'User logged in'}
