[2025-05-31T15:52:39.451+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:52:39.475+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T15:51:29.966269+00:00 [queued]>
[2025-05-31T15:52:39.486+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T15:51:29.966269+00:00 [queued]>
[2025-05-31T15:52:39.488+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:52:39.520+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:51:29.966269+00:00
[2025-05-31T15:52:39.547+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-31T15:51:29.966269+00:00', '--job-id', '196', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpwm8otmzm']
[2025-05-31T15:52:39.553+0000] {standard_task_runner.py:105} INFO - Job 196: Subtask start_log_producer
[2025-05-31T15:52:39.565+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=527) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:52:39.566+0000] {standard_task_runner.py:72} INFO - Started process 529 to run task
[2025-05-31T15:52:39.585+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:52:39.634+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T15:51:29.966269+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:52:39.766+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:51:29.966269+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-31T15:51:29.966269+00:00'
[2025-05-31T15:52:39.767+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:52:39.794+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:52:39.796+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:52:39.951+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:52:43.047+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:43', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:52:45.152+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:45', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:52:47.154+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:47', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:52:49.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:49', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:52:51.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:51', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:52:53.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:53', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:52:55.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:55', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:52:57.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:57', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:52:59.157+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:52:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:53:01.158+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:53:01', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:53:03.158+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:53:03', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:53:05.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:53:05', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:53:07.219+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:53:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:53:09.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:53:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:53:11.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:53:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:53:13.219+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:53:13', 'level': 'ERROR', 'message': 'Database connection failed'}
