[2025-05-31T15:58:06.625+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:58:06.651+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T15:56:48.344406+00:00 [queued]>
[2025-05-31T15:58:06.663+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T15:56:48.344406+00:00 [queued]>
[2025-05-31T15:58:06.665+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:58:06.690+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:56:48.344406+00:00
[2025-05-31T15:58:06.702+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=569) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:58:06.704+0000] {standard_task_runner.py:72} INFO - Started process 570 to run task
[2025-05-31T15:58:06.702+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-31T15:56:48.344406+00:00', '--job-id', '199', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp1bl251jj']
[2025-05-31T15:58:06.706+0000] {standard_task_runner.py:105} INFO - Job 199: Subtask start_log_producer
[2025-05-31T15:58:09.752+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:58:10.078+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T15:56:48.344406+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:58:11.802+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:56:48.344406+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-31T15:56:48.344406+00:00'
[2025-05-31T15:58:12.176+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:58:12.202+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:58:12.204+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:58:12.217+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:58:14.087+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:58:16.192+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:58:18.193+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:18', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:58:20.193+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:20', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:58:22.194+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:22', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:58:24.194+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:24', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:58:26.195+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:58:28.350+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:28', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:58:30.350+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:58:32.351+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:58:34.353+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:58:36.356+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:36', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:58:38.357+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:38', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:58:40.347+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:40', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:58:42.347+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:42', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:58:44.348+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:58:44', 'level': 'ERROR', 'message': 'Database connection failed'}
