[2025-05-31T19:21:46.766+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:21:46.806+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T19:21:40.798562+00:00 [queued]>
[2025-05-31T19:21:46.823+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T19:21:40.798562+00:00 [queued]>
[2025-05-31T19:21:46.824+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:21:46.860+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:21:40.798562+00:00
[2025-05-31T19:21:47.012+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-31T19:21:40.798562+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpoib6a0q0']
[2025-05-31T19:21:47.056+0000] {standard_task_runner.py:105} INFO - Job 11: Subtask start_log_producer
[2025-05-31T19:21:47.071+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=208) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:21:47.073+0000] {standard_task_runner.py:72} INFO - Started process 214 to run task
[2025-05-31T19:21:47.547+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:21:47.898+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T19:21:40.798562+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:21:48.835+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:21:40.798562+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-31T19:21:40.798562+00:00'
[2025-05-31T19:21:48.839+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:21:49.037+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:21:49.040+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:21:49.326+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:22:01.508+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:01', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:22:02.626+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:02', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:22:03.626+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:22:04.627+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:04', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:22:05.628+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:05', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:22:06.628+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:22:07.629+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:22:08.629+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:22:09.630+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:22:10.630+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:10', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:22:12.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:22:13.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:13', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:22:14.103+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:22:15.104+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:15', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:22:16.104+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:22:17.105+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:22:17', 'level': 'ERROR', 'message': 'Database connection failed'}
