[2025-05-31T19:24:54.585+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:24:54.810+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T19:24:52.377821+00:00 [queued]>
[2025-05-31T19:24:55.007+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T19:24:52.377821+00:00 [queued]>
[2025-05-31T19:24:55.008+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:24:55.034+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:24:52.377821+00:00
[2025-05-31T19:24:55.637+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=248) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:24:55.638+0000] {standard_task_runner.py:72} INFO - Started process 249 to run task
[2025-05-31T19:24:55.043+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-31T19:24:52.377821+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpg0nl1uw0']
[2025-05-31T19:24:55.644+0000] {standard_task_runner.py:105} INFO - Job 12: Subtask start_log_producer
[2025-05-31T19:24:57.563+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:24:59.182+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T19:24:52.377821+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:25:00.812+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:24:52.377821+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-31T19:24:52.377821+00:00'
[2025-05-31T19:25:00.815+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:25:00.904+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:25:01.046+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:25:01.214+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:25:06.632+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:07.913+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:07', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:25:08.914+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:08', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:09.915+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:25:10.915+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:25:11.916+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:11', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:12.917+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:13.917+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:14.631+0000] {job.py:229} INFO - Heartbeat recovered after 13.94 seconds
[2025-05-31T19:25:14.917+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:25:15.918+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:16.918+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:16', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:25:17.919+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:17', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:25:18.919+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:25:19.920+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:19', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:25:20.317+0000] {job.py:229} INFO - Heartbeat recovered after 14.02 seconds
[2025-05-31T19:25:20.920+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:20', 'level': 'WARNING', 'message': 'Slow response time'}
