[2025-05-31T23:59:56.724+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T23:59:56.739+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T23:59:55.102272+00:00 [queued]>
[2025-05-31T23:59:56.747+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T23:59:55.102272+00:00 [queued]>
[2025-05-31T23:59:56.748+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T23:59:56.764+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 23:59:55.102272+00:00
[2025-05-31T23:59:56.771+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=384) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T23:59:56.773+0000] {standard_task_runner.py:72} INFO - Started process 385 to run task
[2025-05-31T23:59:56.771+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-05-31T23:59:55.102272+00:00', '--job-id', '90', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpdmu8mmqs']
[2025-05-31T23:59:56.774+0000] {standard_task_runner.py:105} INFO - Job 90: Subtask start_log_producer
[2025-05-31T23:59:56.796+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T23:59:56.832+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-05-31T23:59:55.102272+00:00 [running]> on host 4f4c6676a48d
[2025-05-31T23:59:56.946+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T23:59:55.102272+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-31T23:59:55.102272+00:00'
[2025-05-31T23:59:56.947+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T23:59:56.964+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T23:59:56.966+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T23:59:56.974+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T23:59:57.884+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-05-31T23:59:57.681968', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-05-31T23:59:58.887+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-05-31T23:59:58.886615', 'level': 'INFO', 'message': 'This is a log message'}
[2025-05-31T23:59:59.889+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-05-31T23:59:59.889217', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T00:00:00.893+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:00.892891', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T00:00:01.921+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:01.921600', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T00:00:02.926+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:02.925149', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T00:00:03.928+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:03.928125', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T00:00:04.930+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:04.930050', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T00:00:05.933+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:05.932404', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T00:00:06.935+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:06.934717', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T00:00:07.994+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:07.993090', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T00:00:08.995+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:08.995615', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T00:00:10.047+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:10.046971', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T00:00:11.050+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:11.049914', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T00:00:12.052+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T00:00:12.052051', 'level': 'ERROR', 'message': 'This is a log message'}
