[2025-06-01T16:08:59.389+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-01T16:08:59.409+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T16:05:12.276729+00:00 [queued]>
[2025-06-01T16:08:59.420+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T16:05:12.276729+00:00 [queued]>
[2025-06-01T16:08:59.421+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-06-01T16:08:59.446+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-06-01 16:05:12.276729+00:00
[2025-06-01T16:08:59.989+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=396) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-01T16:08:59.991+0000] {standard_task_runner.py:72} INFO - Started process 399 to run task
[2025-06-01T16:08:59.990+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-06-01T16:05:12.276729+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpno2hag3l']
[2025-06-01T16:08:59.994+0000] {standard_task_runner.py:105} INFO - Job 5: Subtask start_log_producer
[2025-06-01T16:09:00.478+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-06-01T16:09:02.607+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T16:05:12.276729+00:00 [running]> on host 969c06cb9647
[2025-06-01T16:09:04.924+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-01T16:05:12.276729+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-01T16:05:12.276729+00:00'
[2025-06-01T16:09:04.925+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-01T16:09:04.945+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-01T16:09:04.947+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-06-01T16:09:04.994+0000] {subprocess.py:86} INFO - Output:
[2025-06-01T16:09:12.590+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:09.769958', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:16.225+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:16.225170', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:17.286+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:17.286453', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T16:09:18.290+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:18.289283', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:19.293+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:19.292376', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T16:09:20.295+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:20.295524', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T16:09:21.298+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:21.298476', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:22.301+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:22.301057', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:23.304+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:23.303605', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T16:09:24.306+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:24.306235', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T16:09:25.309+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:25.308764', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T16:09:26.312+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:26.311161', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T16:09:27.314+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:27.314000', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T16:09:28.318+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:28.317451', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T16:09:29.321+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:29.320663', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T16:09:30.324+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:30.323439', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:31.326+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:31.326272', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:32.378+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:32.377286', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T16:09:33.381+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:33.381067', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:34.385+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:34.384646', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:35.389+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:35.388533', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T16:09:36.393+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:36.392731', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:37.396+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:37.396405', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T16:09:38.400+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:38.399294', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T16:09:39.401+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:39.400567', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T16:09:40.509+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T16:09:40.508365', 'level': 'ERROR', 'message': 'This is a log message'}
