[2025-06-01T18:09:24.993+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-01T18:09:25.010+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T18:06:21.402471+00:00 [queued]>
[2025-06-01T18:09:25.018+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T18:06:21.402471+00:00 [queued]>
[2025-06-01T18:09:25.019+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-06-01T18:09:25.152+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-06-01 18:06:21.402471+00:00
[2025-06-01T18:09:25.163+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=966) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-01T18:09:25.162+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-06-01T18:06:21.402471+00:00', '--job-id', '87', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpubgynwzh']
[2025-06-01T18:09:25.165+0000] {standard_task_runner.py:72} INFO - Started process 967 to run task
[2025-06-01T18:09:25.166+0000] {standard_task_runner.py:105} INFO - Job 87: Subtask start_log_producer
[2025-06-01T18:09:25.198+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-06-01T18:09:25.235+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T18:06:21.402471+00:00 [running]> on host 61a0313acf02
[2025-06-01T18:09:25.336+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-01T18:06:21.402471+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-01T18:06:21.402471+00:00'
[2025-06-01T18:09:25.337+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-01T18:09:25.356+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-01T18:09:25.358+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-06-01T18:09:25.369+0000] {subprocess.py:86} INFO - Output:
[2025-06-01T18:09:27.442+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:27.337816', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:09:28.444+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:28.443675', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:09:29.642+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:29.641485', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:30.644+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:30.644363', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:31.723+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:31.722085', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:32.724+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:32.724526', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:33.727+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:33.726534', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:34.729+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:34.729154', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:09:35.732+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:35.731215', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T18:09:36.734+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:36.733279', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:37.735+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:37.735526', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T18:09:39.007+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:39.006754', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:40.009+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:40.009059', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:09:41.011+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:41.010872', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:09:42.013+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:09:42.012857', 'level': 'INFO', 'message': 'This is a log message'}
