[2025-06-01T18:42:48.699+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-01T18:42:49.222+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T18:41:03.308241+00:00 [queued]>
[2025-06-01T18:42:49.333+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T18:41:03.308241+00:00 [queued]>
[2025-06-01T18:42:49.337+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-06-01T18:42:52.484+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-06-01 18:41:03.308241+00:00
[2025-06-01T18:42:53.516+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1241) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-01T18:42:56.485+0000] {standard_task_runner.py:72} INFO - Started process 1300 to run task
[2025-06-01T18:42:56.813+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-06-01T18:41:03.308241+00:00', '--job-id', '110', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpnuc0jfmr']
[2025-06-01T18:42:56.863+0000] {standard_task_runner.py:105} INFO - Job 110: Subtask start_log_producer
[2025-06-01T18:43:04.725+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-06-01T18:43:33.016+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-01T18:41:03.308241+00:00 [running]> on host 61a0313acf02
[2025-06-01T18:43:33.236+0000] {job.py:229} INFO - Heartbeat recovered after 49.92 seconds
[2025-06-01T18:43:42.485+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-01T18:41:03.308241+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-01T18:41:03.308241+00:00'
[2025-06-01T18:43:42.605+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-01T18:43:42.783+0000] {job.py:229} INFO - Heartbeat recovered after 10.97 seconds
[2025-06-01T18:43:44.235+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-01T18:43:44.434+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-06-01T18:43:44.641+0000] {subprocess.py:86} INFO - Output:
[2025-06-01T18:43:46.704+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:46.595694', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T18:43:47.838+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:47.837777', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:43:48.884+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:48.867738', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:43:49.878+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:49.877624', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:43:50.881+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:50.880656', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:43:52.198+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:52.194694', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:43:53.298+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:53.297913', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T18:43:54.330+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:54.329460', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T18:43:55.483+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:55.483272', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:43:56.486+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:56.485969', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T18:43:57.488+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:57.488045', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:43:58.490+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:58.490236', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:43:59.500+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:43:59.500125', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:44:00.575+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:44:00.575059', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-01T18:44:01.608+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:44:01.586336', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-01T18:44:02.610+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:44:02.609609', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-01T18:44:03.679+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-01T18:44:03.678749', 'level': 'INFO', 'message': 'This is a log message'}
