[2025-06-02T01:41:00.854+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-02T01:41:00.872+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T01:38:51.955055+00:00 [queued]>
[2025-06-02T01:41:00.883+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T01:38:51.955055+00:00 [queued]>
[2025-06-02T01:41:00.883+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-06-02T01:41:00.902+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-06-02 01:38:51.955055+00:00
[2025-06-02T01:41:00.947+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=687) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-02T01:41:00.949+0000] {standard_task_runner.py:72} INFO - Started process 688 to run task
[2025-06-02T01:41:00.947+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-06-02T01:38:51.955055+00:00', '--job-id', '72', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpveoncioi']
[2025-06-02T01:41:00.950+0000] {standard_task_runner.py:105} INFO - Job 72: Subtask start_log_producer
[2025-06-02T01:41:00.970+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-06-02T01:41:01.011+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T01:38:51.955055+00:00 [running]> on host 95af1ae74a08
[2025-06-02T01:41:01.094+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-02T01:38:51.955055+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-02T01:38:51.955055+00:00'
[2025-06-02T01:41:01.095+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-02T01:41:01.111+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-02T01:41:01.113+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-06-02T01:41:01.123+0000] {subprocess.py:86} INFO - Output:
[2025-06-02T01:41:06.081+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:01.985900', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T01:41:10.553+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:10.553273', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:12.371+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:12.369887', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:13.373+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:13.373586', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T01:41:14.508+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:14.508181', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:15.729+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:15.729621', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:16.733+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:16.732079', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:17.736+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:17.735687', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:18.738+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:18.737883', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:19.740+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:19.739976', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T01:41:20.755+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:20.754714', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:21.831+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:21.830287', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:22.845+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:22.845114', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:23.937+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:23.936634', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:24.939+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:24.939162', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:26.000+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:26.000007', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T01:41:27.054+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:27.053866', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T01:41:28.001+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:28.000705', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T01:41:29.005+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:29.004248', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:30.007+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:30.006943', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:31.049+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:31.048022', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:32.175+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:32.174938', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T01:41:33.178+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:33.177599', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T01:41:34.231+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:34.231547', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:35.247+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:35.246644', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T01:41:36.250+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T01:41:36.249204', 'level': 'WARNING', 'message': 'This is a log message'}
