[2025-06-02T12:56:00.971+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-02T12:56:01.093+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T12:54:53.448668+00:00 [queued]>
[2025-06-02T12:56:01.104+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T12:54:53.448668+00:00 [queued]>
[2025-06-02T12:56:01.105+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-06-02T12:56:03.808+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-06-02 12:54:53.448668+00:00
[2025-06-02T12:56:04.643+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-06-02T12:54:53.448668+00:00', '--job-id', '94', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp9mco9l5i']
[2025-06-02T12:56:12.227+0000] {standard_task_runner.py:105} INFO - Job 94: Subtask start_log_producer
[2025-06-02T12:56:12.621+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=433) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-02T12:56:12.622+0000] {standard_task_runner.py:72} INFO - Started process 438 to run task
[2025-06-02T12:56:25.024+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-06-02T12:56:26.486+0000] {job.py:229} INFO - Heartbeat recovered after 27.37 seconds
[2025-06-02T12:56:31.138+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T12:54:53.448668+00:00 [running]> on host c47ce43ea693
[2025-06-02T12:56:38.041+0000] {job.py:229} INFO - Heartbeat recovered after 12.71 seconds
[2025-06-02T12:56:39.034+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-02T12:54:53.448668+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-02T12:54:53.448668+00:00'
[2025-06-02T12:56:39.036+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-02T12:56:39.150+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-02T12:56:39.152+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-06-02T12:56:39.160+0000] {subprocess.py:86} INFO - Output:
[2025-06-02T12:56:53.850+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:56:53.671721', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T12:56:58.069+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:56:58.068459', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T12:56:59.093+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:56:59.093531', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:00.097+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:00.096423', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T12:57:01.281+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:01.280648', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:02.407+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:02.406362', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:03.410+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:03.410024', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:04.418+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:04.417800', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:05.421+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:05.420548', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:06.427+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:06.424069', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:07.567+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:07.566825', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T12:57:08.748+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:08.748081', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T12:57:09.751+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:09.750803', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T12:57:10.876+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:10.875822', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T12:57:11.882+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:11.882498', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T12:57:13.007+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T12:57:13.007561', 'level': 'WARNING', 'message': 'This is a log message'}
