[2025-06-02T14:16:26.809+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-02T14:16:26.825+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T14:13:28.002044+00:00 [queued]>
[2025-06-02T14:16:26.833+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T14:13:28.002044+00:00 [queued]>
[2025-06-02T14:16:26.834+0000] {taskinstance.py:2865} INFO - Starting attempt 3 of 4
[2025-06-02T14:16:26.852+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-06-02 14:13:28.002044+00:00
[2025-06-02T14:16:26.861+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1121) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-02T14:16:26.861+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-06-02T14:13:28.002044+00:00', '--job-id', '112', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp5kr6qqvi']
[2025-06-02T14:16:26.933+0000] {standard_task_runner.py:72} INFO - Started process 1122 to run task
[2025-06-02T14:16:26.934+0000] {standard_task_runner.py:105} INFO - Job 112: Subtask start_log_producer
[2025-06-02T14:16:26.954+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-06-02T14:16:26.992+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T14:13:28.002044+00:00 [running]> on host c47ce43ea693
[2025-06-02T14:16:27.082+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-02T14:13:28.002044+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-02T14:13:28.002044+00:00'
[2025-06-02T14:16:27.083+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-02T14:16:27.103+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-02T14:16:27.104+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-06-02T14:16:27.114+0000] {subprocess.py:86} INFO - Output:
[2025-06-02T14:16:29.220+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:28.336460', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T14:16:31.611+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:31.609999', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T14:16:32.846+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:32.845724', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T14:16:33.875+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:33.874454', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T14:16:34.946+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:34.946037', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T14:16:35.971+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:35.970449', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T14:16:36.975+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:36.974448', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T14:16:37.977+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:37.977535', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T14:16:39.046+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:39.045459', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T14:16:40.215+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:40.215553', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T14:16:41.280+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:41.279718', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T14:16:42.300+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:42.299998', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T14:16:43.302+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:43.302624', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T14:16:44.435+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:44.435337', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T14:16:45.798+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:45.797247', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T14:16:46.850+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:46.849211', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T14:16:47.852+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:47.852360', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T14:16:48.855+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:48.854942', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T14:16:49.859+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T14:16:49.858985', 'level': 'INFO', 'message': 'This is a log message'}
