[2025-06-02T15:42:47.725+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-02T15:42:47.781+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T15:37:47.618112+00:00 [queued]>
[2025-06-02T15:42:47.790+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T15:37:47.618112+00:00 [queued]>
[2025-06-02T15:42:47.791+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-06-02T15:42:47.808+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-06-02 15:37:47.618112+00:00
[2025-06-02T15:42:47.817+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1600) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-02T15:42:47.819+0000] {standard_task_runner.py:72} INFO - Started process 1601 to run task
[2025-06-02T15:42:47.817+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'manual__2025-06-02T15:37:47.618112+00:00', '--job-id', '118', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpwh2bis27']
[2025-06-02T15:42:47.820+0000] {standard_task_runner.py:105} INFO - Job 118: Subtask start_log_producer
[2025-06-02T15:42:47.839+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-06-02T15:42:47.875+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer manual__2025-06-02T15:37:47.618112+00:00 [running]> on host c47ce43ea693
[2025-06-02T15:42:48.060+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-02T15:37:47.618112+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-02T15:37:47.618112+00:00'
[2025-06-02T15:42:48.061+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-02T15:42:48.197+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-02T15:42:48.239+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-06-02T15:42:48.331+0000] {subprocess.py:86} INFO - Output:
[2025-06-02T15:42:52.580+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:42:49.824059', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:42:58.110+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:42:58.109760', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:42:59.113+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:42:59.112366', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:00.186+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:00.185603', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:01.336+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:01.335241', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:02.338+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:02.337701', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:03.469+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:03.469223', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:04.471+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:04.471639', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:05.475+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:05.474768', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:06.477+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:06.477159', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:07.479+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:07.479410', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:08.881+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:08.881401', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:09.923+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:09.922947', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:11.033+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:11.033333', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:12.036+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:12.035615', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:13.037+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:13.037028', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:14.177+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:14.177559', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:15.180+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:15.180007', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:16.182+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:16.182427', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:17.186+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:17.184987', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:18.188+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:18.187913', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:19.191+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:19.190715', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:20.193+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:20.193069', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:21.229+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:21.229073', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:22.231+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:22.231426', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:23.235+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:23.234578', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:24.238+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:24.238380', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:25.241+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:25.241131', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:26.244+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:26.243246', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:27.356+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:27.356081', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:28.358+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:28.358440', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:29.360+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:29.360471', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:30.363+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:30.362918', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:31.393+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:31.393300', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:32.434+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:32.433555', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:33.436+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:33.436367', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:34.477+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:34.476839', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:35.481+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:35.479560', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:36.483+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:36.482638', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:37.485+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:37.485325', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:38.488+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:38.487689', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:39.491+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:39.490536', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:40.495+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:40.494133', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:41.497+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:41.497295', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:42.500+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:42.499726', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:43.501+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:43.501095', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:44.504+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:44.503437', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:45.506+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:45.505648', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:46.508+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:46.507749', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:47.511+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:47.510992', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:48.514+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:48.513618', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:49.632+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:49.631513', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:50.636+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:50.636056', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:51.639+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:51.638835', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:43:52.642+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:52.642284', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:53.645+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:53.644405', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:54.647+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:54.647511', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:55.650+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:55.649888', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:56.652+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:56.652583', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:57.655+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:57.654972', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:43:58.658+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:58.657763', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:43:59.661+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:43:59.660373', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:44:00.680+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:00.679989', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:44:01.682+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:01.682351', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:44:02.685+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:02.684656', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:44:03.688+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:03.687874', 'level': 'ERROR', 'message': 'This is a log message'}
[2025-06-02T15:44:04.691+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:04.690832', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:44:05.694+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:05.693892', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:44:06.781+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:06.781075', 'level': 'WARNING', 'message': 'This is a log message'}
[2025-06-02T15:44:07.783+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:07.783477', 'level': 'INFO', 'message': 'This is a log message'}
[2025-06-02T15:44:08.787+0000] {subprocess.py:93} INFO - Sent log: {'timestamp': '2025-06-02T15:44:08.787028', 'level': 'WARNING', 'message': 'This is a log message'}
