[2025-05-27T13:30:58.248+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T13:30:58.267+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:25:00+00:00 [queued]>
[2025-05-27T13:30:58.277+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:25:00+00:00 [queued]>
[2025-05-27T13:30:58.279+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-27T13:30:58.298+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:25:00+00:00
[2025-05-27T13:30:58.308+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=171) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T13:30:58.307+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T13:25:00+00:00', '--job-id', '69', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp_6d8o9d0']
[2025-05-27T13:30:58.309+0000] {standard_task_runner.py:72} INFO - Started process 174 to run task
[2025-05-27T13:30:58.310+0000] {standard_task_runner.py:105} INFO - Job 69: Subtask start_log_producer
[2025-05-27T13:30:58.332+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:30:58.375+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:25:00+00:00 [running]> on host be9b2adc373c
[2025-05-27T13:30:58.377+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:30:58.500+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T13:25:00+00:00'
[2025-05-27T13:30:58.501+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T13:30:58.552+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T13:30:58.553+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/scripts/log_producer.py']
[2025-05-27T13:30:58.565+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T13:33:40.766+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:33:40.822+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:02', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:33:40.823+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:04', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:33:40.826+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:33:40.828+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:33:40.829+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:10', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:33:40.830+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:12', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:33:40.831+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:33:40.834+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:33:40.837+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:33:40.839+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:20', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:33:40.841+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:33:40.843+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:33:40.844+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:26', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:33:40.847+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:33:40.848+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:30', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:33:40.849+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:31:32', 'level': 'ERROR', 'message': 'Database connection failed'}
