[2025-05-27T13:51:16.488+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T13:51:16.558+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:45:00+00:00 [queued]>
[2025-05-27T13:51:16.596+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:45:00+00:00 [queued]>
[2025-05-27T13:51:16.597+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-27T13:51:16.657+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:45:00+00:00
[2025-05-27T13:51:16.673+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T13:45:00+00:00', '--job-id', '82', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp00y8x3r3']
[2025-05-27T13:51:16.698+0000] {standard_task_runner.py:105} INFO - Job 82: Subtask start_log_producer
[2025-05-27T13:51:16.708+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=197) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T13:51:16.710+0000] {standard_task_runner.py:72} INFO - Started process 198 to run task
[2025-05-27T13:51:16.796+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:51:16.879+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:45:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-27T13:51:16.882+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:51:17.176+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T13:45:00+00:00'
[2025-05-27T13:51:17.177+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T13:51:17.252+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T13:51:17.255+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python log_producer.py']
[2025-05-27T13:51:17.267+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T13:53:59.414+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:19', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:53:59.429+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:21', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:53:59.430+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:53:59.431+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:25', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:53:59.432+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:27', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:53:59.433+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:29', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:53:59.434+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:53:59.435+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:33', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:53:59.435+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:35', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:53:59.436+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:37', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:53:59.436+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:39', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:53:59.437+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:41', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:53:59.437+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:43', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:53:59.438+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:45', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:53:59.439+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:53:59.439+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:49', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:53:59.440+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:51:51', 'level': 'WARNING', 'message': 'Slow response time'}
