[2025-05-27T13:55:01.761+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T13:55:01.781+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:50:00+00:00 [queued]>
[2025-05-27T13:55:01.792+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:50:00+00:00 [queued]>
[2025-05-27T13:55:01.793+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-27T13:55:01.818+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:50:00+00:00
[2025-05-27T13:55:01.826+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=242) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T13:55:01.828+0000] {standard_task_runner.py:72} INFO - Started process 243 to run task
[2025-05-27T13:55:01.826+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T13:50:00+00:00', '--job-id', '83', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpivv78a3f']
[2025-05-27T13:55:01.829+0000] {standard_task_runner.py:105} INFO - Job 83: Subtask start_log_producer
[2025-05-27T13:55:01.850+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:55:01.884+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:50:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-27T13:55:01.886+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T13:55:02.048+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T13:50:00+00:00'
[2025-05-27T13:55:02.051+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T13:55:02.136+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T13:55:02.140+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python log_producer.py']
[2025-05-27T13:55:02.153+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T13:57:43.043+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:04', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:57:43.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.098+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:08', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.100+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:12', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:57:43.103+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:57:43.104+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.105+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:18', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:57:43.107+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:20', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.108+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:22', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.109+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.109+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:26', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.110+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.111+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.112+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.113+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:34', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.114+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:36', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.115+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:38', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.116+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.116+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:42', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.117+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:44', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.118+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:46', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.118+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:48', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:57:43.119+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:50', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.119+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:52', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.120+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:55', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.121+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.121+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:55:59', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:57:43.122+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:01', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.122+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:03', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:57:43.122+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:05', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.124+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.124+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.124+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.125+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:13', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:57:43.126+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:15', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.127+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:17', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.127+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.128+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:21', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.129+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.130+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:25', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.130+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.131+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:29', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.132+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.132+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:33', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.133+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.133+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:37', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.134+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:39', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.135+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:41', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T13:57:43.135+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:43', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.136+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:45', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.138+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.139+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:49', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:57:43.139+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:51', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:57:43.139+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:53', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:57:43.140+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:55', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.141+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:57', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:57:43.141+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:56:59', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.142+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:01', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.142+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.143+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:05', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:57:43.143+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:07', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:57:43.143+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:09', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:57:43.144+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:11', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T13:57:43.144+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:13', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.144+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:15', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:57:43.144+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:17', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.145+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.145+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:21', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.146+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.146+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:25', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T13:57:43.146+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:27', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.147+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:29', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:57:43.147+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:31', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:57:43.147+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:33', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T13:57:43.148+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:35', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T13:57:43.148+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:37', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T13:57:43.148+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:39', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T13:57:43.149+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:41', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:00:25.095+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:43', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T14:00:25.135+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:45', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:00:25.136+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:47', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T14:00:25.137+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:49', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:00:25.138+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:51', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:00:25.139+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:53', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T14:00:25.140+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:55', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:00:25.140+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:57', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:00:25.141+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:57:59', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T14:00:25.142+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:58:01', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T14:00:25.142+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:58:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:00:25.142+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 13:58:05', 'level': 'INFO', 'message': 'User logged in'}
