[2025-05-31T14:35:29.993+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:35:30.026+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:50:00+00:00 [queued]>
[2025-05-31T14:35:30.047+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:50:00+00:00 [queued]>
[2025-05-31T14:35:30.049+0000] {taskinstance.py:2865} INFO - Starting attempt 3 of 2
[2025-05-31T14:35:30.083+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:50:00+00:00
[2025-05-31T14:35:30.103+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=174) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:35:30.106+0000] {standard_task_runner.py:72} INFO - Started process 205 to run task
[2025-05-31T14:35:30.104+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T13:50:00+00:00', '--job-id', '142', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpzfw6wcxw']
[2025-05-31T14:35:30.109+0000] {standard_task_runner.py:105} INFO - Job 142: Subtask start_log_producer
[2025-05-31T14:35:30.157+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:30.232+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:50:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:35:30.236+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:30.434+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T13:50:00+00:00'
[2025-05-31T14:35:30.435+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:35:30.467+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:35:30.471+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:35:30.501+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:35:32.548+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:35.974+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:35', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:38.275+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:40.454+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:40', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:42.462+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:42', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:44.471+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:44', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:46.482+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:46', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:48.497+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:50.515+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:50', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:52.523+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:52', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:54.918+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:57.448+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:57', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:36:00.344+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:00', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:36:04.628+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:03', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:06.869+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:08.185+0000] {job.py:229} INFO - Heartbeat recovered after 13.26 seconds
[2025-05-31T14:36:08.866+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:36:11.312+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
