[2025-05-27T14:00:01.064+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T14:00:01.099+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:55:00+00:00 [queued]>
[2025-05-27T14:00:01.114+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:55:00+00:00 [queued]>
[2025-05-27T14:00:01.114+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-27T14:00:01.154+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:55:00+00:00
[2025-05-27T14:00:01.184+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=302) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T14:00:01.190+0000] {standard_task_runner.py:72} INFO - Started process 303 to run task
[2025-05-27T14:00:01.190+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T13:55:00+00:00', '--job-id', '85', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp_rpaj5nj']
[2025-05-27T14:00:01.197+0000] {standard_task_runner.py:105} INFO - Job 85: Subtask start_log_producer
[2025-05-27T14:00:01.238+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T14:00:01.338+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:55:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-27T14:00:01.340+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T14:00:01.679+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T13:55:00+00:00'
[2025-05-27T14:00:01.683+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T14:00:01.784+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T14:00:01.818+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-27T14:00:01.849+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T14:00:03.899+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:03', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T14:00:06.035+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T14:00:08.036+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:08', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T14:00:10.025+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T14:00:12.026+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:12', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T14:00:14.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:14', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T14:00:16.028+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:16', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T14:00:18.029+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:18', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:00:20.033+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:20', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T14:00:22.031+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:22', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T14:00:24.031+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T14:00:26.032+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:26', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:00:28.033+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:28', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T14:00:30.034+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:00:32.034+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:32', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-27T14:00:34.035+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:34', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:00:36.036+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:00:36', 'level': 'WARNING', 'message': 'High memory usage'}
