[2025-05-28T10:28:02.796+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T10:28:02.904+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:55:00+00:00 [queued]>
[2025-05-28T10:28:02.950+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:55:00+00:00 [queued]>
[2025-05-28T10:28:02.951+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-28T10:28:03.035+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 13:55:00+00:00
[2025-05-28T10:28:03.126+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2163) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T10:28:03.077+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T13:55:00+00:00', '--job-id', '103', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp9qw2lg3p']
[2025-05-28T10:28:03.141+0000] {standard_task_runner.py:72} INFO - Started process 2166 to run task
[2025-05-28T10:28:03.140+0000] {standard_task_runner.py:105} INFO - Job 103: Subtask start_log_producer
[2025-05-28T10:28:03.320+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T10:28:03.551+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T13:55:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T10:28:03.556+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T10:28:04.195+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T13:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T13:55:00+00:00'
[2025-05-28T10:28:04.203+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T10:28:04.454+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T10:28:04.489+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T10:28:04.525+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T10:28:08.131+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:08', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:28:10.348+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:10', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:28:12.349+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:12', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:28:14.350+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:28:16.350+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:16', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:28:18.352+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:18', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:28:20.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:20', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:28:22.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:22', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:28:24.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:28:26.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:26', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:28:28.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:28', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:28:30.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:30', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:28:32.342+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:32', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:28:34.342+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:34', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T10:28:36.343+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:36', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:28:38.343+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:38', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:28:40.344+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:40', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:28:42.344+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:28:44.345+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:44', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:28:46.345+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:46', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:28:48.346+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:48', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:28:50.335+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:50', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:28:52.336+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:52', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:28:54.336+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:54', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:28:56.337+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:56', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:28:58.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:28:58', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:29:00.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:00', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:29:02.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:02', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:29:04.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:04', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:06.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:29:08.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:08', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:10.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:12.342+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:12', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:14.342+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:16.343+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:16', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T10:29:18.343+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:29:20.336+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:20', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:22.336+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:22', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T10:29:24.337+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:29:26.337+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:28.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:29:30.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:30', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:29:32.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:32', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:29:34.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:29:36.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:36', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:29:38.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:38', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T10:29:40.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:29:42.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:42', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:29:44.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:44', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:29:46.342+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:46', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T10:29:48.343+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:48', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:29:50.336+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:50', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:29:52.337+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:52', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:29:54.337+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T10:29:56.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:56', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:29:58.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:29:58', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:30:00.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:00', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:30:02.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:02', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:30:04.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T10:30:06.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:06', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T10:30:08.342+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:08', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T10:30:10.342+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T10:30:12.343+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:12', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:30:14.344+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T10:30:16.345+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:16', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T10:30:18.346+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:18', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T10:30:20.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 10:30:20', 'level': 'INFO', 'message': 'Page loaded'}
