[2025-05-27T14:05:03.098+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-27T14:05:03.132+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:00:00+00:00 [queued]>
[2025-05-27T14:05:03.150+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:00:00+00:00 [queued]>
[2025-05-27T14:05:03.151+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-27T14:05:03.186+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 14:00:00+00:00
[2025-05-27T14:05:03.198+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T14:00:00+00:00', '--job-id', '86', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpujsun8n1']
[2025-05-27T14:05:03.201+0000] {standard_task_runner.py:105} INFO - Job 86: Subtask start_log_producer
[2025-05-27T14:05:03.202+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=357) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-27T14:05:03.203+0000] {standard_task_runner.py:72} INFO - Started process 358 to run task
[2025-05-27T14:05:03.224+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T14:05:03.346+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:00:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-27T14:05:03.350+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-27T14:05:03.780+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T14:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T14:00:00+00:00'
[2025-05-27T14:05:03.786+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-27T14:05:03.909+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-27T14:05:03.916+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-27T14:05:03.947+0000] {subprocess.py:86} INFO - Output:
[2025-05-27T14:05:08.003+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:05:10.111+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:10', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T14:05:12.111+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:12', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:05:14.112+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T14:05:16.112+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:16', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T14:05:18.114+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:18', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T14:05:20.115+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:20', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:05:22.116+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:22', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:05:24.116+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:24', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:05:26.117+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T14:05:28.118+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-27T14:05:30.118+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:30', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-27T14:05:32.119+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:32', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-27T14:05:34.120+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:34', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-27T14:05:36.121+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:36', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-27T14:05:38.124+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 14:05:38', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-27T17:05:42.438+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-27 17:05:42', 'level': 'WARNING', 'message': 'High memory usage'}
