[2025-05-31T14:35:29.231+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:35:29.254+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:00:00+00:00 [queued]>
[2025-05-31T14:35:29.265+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:00:00+00:00 [queued]>
[2025-05-31T14:35:29.266+0000] {taskinstance.py:2865} INFO - Starting attempt 3 of 2
[2025-05-31T14:35:29.286+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 14:00:00+00:00
[2025-05-31T14:35:29.298+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=178) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:35:29.298+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T14:00:00+00:00', '--job-id', '138', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp_58k568w']
[2025-05-31T14:35:29.304+0000] {standard_task_runner.py:105} INFO - Job 138: Subtask start_log_producer
[2025-05-31T14:35:29.304+0000] {standard_task_runner.py:72} INFO - Started process 193 to run task
[2025-05-31T14:35:29.326+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:29.368+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:00:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:35:29.370+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:29.507+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T14:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T14:00:00+00:00'
[2025-05-31T14:35:29.510+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:35:29.547+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:35:29.548+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:35:29.561+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:35:32.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:32', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:35.960+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:35', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:37.992+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:37', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:40.090+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:40', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:39.946+0000] {job.py:229} INFO - Heartbeat recovered after 10.90 seconds
[2025-05-31T14:35:42.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:42', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:44.208+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:44', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:46.236+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:46', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:48.245+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:48', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:50.932+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:50', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:52.947+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:52', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:55.093+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:55', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:57.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:58.284+0000] {job.py:229} INFO - Heartbeat recovered after 11.30 seconds
[2025-05-31T14:35:59.099+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:36:01.698+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:01', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:36:04.772+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:04', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:36:06.836+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:06', 'level': 'ERROR', 'message': 'Database connection failed'}
