[2025-05-28T05:40:35.360+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T05:40:35.728+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:05:00+00:00 [queued]>
[2025-05-28T05:40:35.856+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:05:00+00:00 [queued]>
[2025-05-28T05:40:35.866+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T05:40:38.656+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 14:05:00+00:00
[2025-05-28T05:40:38.880+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=367) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T05:40:38.899+0000] {standard_task_runner.py:72} INFO - Started process 375 to run task
[2025-05-28T05:40:38.918+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T14:05:00+00:00', '--job-id', '87', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpo_w3ts1i']
[2025-05-28T05:40:38.942+0000] {standard_task_runner.py:105} INFO - Job 87: Subtask start_log_producer
[2025-05-28T05:40:40.307+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:40:41.059+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:05:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T05:40:41.065+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:40:43.143+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T14:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T14:05:00+00:00'
[2025-05-28T05:40:43.150+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T05:40:43.274+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T05:40:43.280+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T05:40:43.301+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T05:40:44.465+0000] {job.py:229} INFO - Heartbeat recovered after 26.28 seconds
[2025-05-28T05:41:00.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:00', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:02.536+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:02', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:04.537+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:04', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:06.538+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:08.557+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:08', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:10.557+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:10', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:41:12.558+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:12', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:41:14.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:14', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:41:16.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:18.560+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:20.516+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:20', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:41:22.516+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:22', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:24.517+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:26.518+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:28.519+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:30.519+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:32.520+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:32', 'level': 'INFO', 'message': 'Search executed'}
