[2025-05-31T14:35:31.841+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:35:31.870+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:05:00+00:00 [queued]>
[2025-05-31T14:35:31.883+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:05:00+00:00 [queued]>
[2025-05-31T14:35:31.884+0000] {taskinstance.py:2865} INFO - Starting attempt 3 of 2
[2025-05-31T14:35:31.908+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 14:05:00+00:00
[2025-05-31T14:35:31.931+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=179) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:35:31.934+0000] {standard_task_runner.py:72} INFO - Started process 213 to run task
[2025-05-31T14:35:31.931+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T14:05:00+00:00', '--job-id', '144', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpz9_bp7sr']
[2025-05-31T14:35:31.937+0000] {standard_task_runner.py:105} INFO - Job 144: Subtask start_log_producer
[2025-05-31T14:35:32.082+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:32.148+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T14:05:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:35:32.149+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:32.335+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T14:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T14:05:00+00:00'
[2025-05-31T14:35:32.341+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:35:32.380+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:35:32.382+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:35:32.409+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:35:34.870+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:34', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:43.260+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:45.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:45', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:47.397+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:47', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:49.616+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:49', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:51.713+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:51', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:55.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:55', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:57.103+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:57', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:58.500+0000] {job.py:229} INFO - Heartbeat recovered after 12.32 seconds
[2025-05-31T14:35:59.107+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:59', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:01.705+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:01', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:04.626+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:04', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:36:06.827+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:09.030+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:09', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:36:11.032+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:36:13.526+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:36:15.576+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:36:18.502+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:18', 'level': 'ERROR', 'message': 'Database connection failed'}
