[2025-05-28T05:40:41.061+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T05:40:41.107+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T17:00:00+00:00 [queued]>
[2025-05-28T05:40:41.130+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T17:00:00+00:00 [queued]>
[2025-05-28T05:40:41.131+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T05:40:41.847+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-27 17:00:00+00:00
[2025-05-28T05:40:41.979+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-27T17:00:00+00:00', '--job-id', '89', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpijviwnkw']
[2025-05-28T05:40:41.982+0000] {standard_task_runner.py:105} INFO - Job 89: Subtask start_log_producer
[2025-05-28T05:40:41.998+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=371) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T05:40:42.000+0000] {standard_task_runner.py:72} INFO - Started process 377 to run task
[2025-05-28T05:40:43.194+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:40:44.982+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-27T17:00:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T05:40:44.987+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:40:46.879+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-27T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-27T17:00:00+00:00'
[2025-05-28T05:40:46.896+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T05:40:46.962+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T05:40:46.969+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T05:40:46.983+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T05:40:47.564+0000] {job.py:229} INFO - Heartbeat recovered after 11.37 seconds
[2025-05-28T05:41:00.089+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:00', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:41:02.536+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:02', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:04.537+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:04', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:41:06.538+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:08.539+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:08', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:10.539+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:12.540+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:12', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:14.540+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:16.541+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:18.541+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:18', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:20.497+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:20', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:22.498+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:22', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:41:24.499+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:26.500+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:28.501+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:30.501+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:30', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:32.503+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:32', 'level': 'WARNING', 'message': 'Slow response time'}
