[2025-05-28T05:40:41.061+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T05:40:41.099+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:35:00+00:00 [queued]>
[2025-05-28T05:40:41.112+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:35:00+00:00 [queued]>
[2025-05-28T05:40:41.113+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T05:40:41.853+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:35:00+00:00
[2025-05-28T05:40:41.966+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=372) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T05:40:41.973+0000] {standard_task_runner.py:72} INFO - Started process 378 to run task
[2025-05-28T05:40:41.976+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:35:00+00:00', '--job-id', '88', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpzrui663t']
[2025-05-28T05:40:41.992+0000] {standard_task_runner.py:105} INFO - Job 88: Subtask start_log_producer
[2025-05-28T05:40:43.138+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:40:45.038+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:35:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T05:40:45.045+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:40:46.914+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:35:00+00:00'
[2025-05-28T05:40:46.915+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T05:40:46.966+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T05:40:46.972+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T05:40:46.989+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T05:40:47.576+0000] {job.py:229} INFO - Heartbeat recovered after 11.38 seconds
[2025-05-28T05:41:00.086+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:00', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:02.540+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:02', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:04.541+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:04', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:06.542+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:06', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:41:08.543+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:08', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:10.543+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:12.544+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:12', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:41:14.544+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:14', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:41:16.544+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:16', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:18.545+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:18', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:20.501+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:20', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:22.502+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:22', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:24.502+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:24', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:41:26.503+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:26', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:28.504+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:30.505+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:30', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:32.505+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:34.506+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:34', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:36.507+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:36', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:38.507+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:38', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:41:40.507+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:40', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:42.508+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:42', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:41:44.509+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:44', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:46.510+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:46', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:48.510+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:48', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:41:50.498+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:50', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:41:52.499+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:52', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:41:54.499+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:54', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:41:56.500+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:41:58.500+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:41:58', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:42:00.501+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:42:02.501+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:02', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:42:04.502+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:42:06.502+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:42:08.503+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:08', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:42:10.503+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:10', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:42:12.504+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:12', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:42:14.504+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:42:16.505+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:16', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:42:18.506+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:18', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:42:20.496+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:20', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:42:22.496+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:42:24.497+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:42:26.497+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:42:26', 'level': 'WARNING', 'message': 'High memory usage'}
