[2025-05-28T05:45:02.197+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T05:45:02.266+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:40:00+00:00 [queued]>
[2025-05-28T05:45:02.285+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:40:00+00:00 [queued]>
[2025-05-28T05:45:02.286+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T05:45:02.330+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:40:00+00:00
[2025-05-28T05:45:02.342+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:40:00+00:00', '--job-id', '91', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp3764nrar']
[2025-05-28T05:45:02.347+0000] {standard_task_runner.py:105} INFO - Job 91: Subtask start_log_producer
[2025-05-28T05:45:02.396+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=428) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T05:45:02.397+0000] {standard_task_runner.py:72} INFO - Started process 429 to run task
[2025-05-28T05:45:02.413+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:45:02.657+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:40:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T05:45:02.662+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:45:11.912+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:40:00+00:00'
[2025-05-28T05:45:11.915+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T05:45:12.014+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T05:45:12.040+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T05:45:12.055+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T05:45:14.107+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:45:16.212+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:16', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:45:18.213+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:18', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:45:20.210+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:20', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:45:22.210+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:22', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:45:24.211+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:45:26.211+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:26', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:45:28.212+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:28', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:45:30.213+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:30', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:45:32.214+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:32', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:45:34.215+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:34', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:45:36.215+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:36', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:45:38.216+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:38', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:45:40.217+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:40', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:45:42.217+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:42', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:45:44.457+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:44', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:45:46.457+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:46', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:45:48.552+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:48', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:45:50.536+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:50', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:45:52.537+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:45:52', 'level': 'INFO', 'message': 'Search executed'}
