[2025-05-31T14:35:31.037+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:35:31.074+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:40:00+00:00 [queued]>
[2025-05-31T14:35:31.093+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:40:00+00:00 [queued]>
[2025-05-31T14:35:31.094+0000] {taskinstance.py:2865} INFO - Starting attempt 3 of 2
[2025-05-31T14:35:31.134+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:40:00+00:00
[2025-05-31T14:35:31.179+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=183) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:35:31.189+0000] {standard_task_runner.py:72} INFO - Started process 210 to run task
[2025-05-31T14:35:31.185+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:40:00+00:00', '--job-id', '143', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp2u1vxecc']
[2025-05-31T14:35:31.192+0000] {standard_task_runner.py:105} INFO - Job 143: Subtask start_log_producer
[2025-05-31T14:35:31.244+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:31.334+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:40:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:35:31.337+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:31.524+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:40:00+00:00'
[2025-05-31T14:35:31.527+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:35:31.581+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:35:31.586+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:35:31.619+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:35:33.236+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:33', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:35.952+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:38.273+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:40.495+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:40', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:42.457+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:44.462+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:44', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:46.470+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:46', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:48.485+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:50.502+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:50', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:52.515+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:52', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:54.904+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:57.446+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:58.439+0000] {job.py:229} INFO - Heartbeat recovered after 11.63 seconds
[2025-05-31T14:35:59.447+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:59', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:36:01.703+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:01', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:36:04.649+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:04', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:06.705+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:06', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:36:08.708+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:08', 'level': 'ERROR', 'message': 'Database connection failed'}
