[2025-05-28T05:50:02.949+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T05:50:02.986+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:45:00+00:00 [queued]>
[2025-05-28T05:50:03.001+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:45:00+00:00 [queued]>
[2025-05-28T05:50:03.001+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T05:50:03.036+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:45:00+00:00
[2025-05-28T05:50:03.052+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:45:00+00:00', '--job-id', '92', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpn2iiz7iq']
[2025-05-28T05:50:03.055+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=483) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T05:50:03.058+0000] {standard_task_runner.py:105} INFO - Job 92: Subtask start_log_producer
[2025-05-28T05:50:03.059+0000] {standard_task_runner.py:72} INFO - Started process 484 to run task
[2025-05-28T05:50:03.092+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:50:03.175+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:45:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T05:50:03.177+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:50:03.507+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:45:00+00:00'
[2025-05-28T05:50:03.512+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T05:50:03.686+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T05:50:03.698+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T05:50:03.720+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T05:50:06.495+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:06', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:50:08.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:08', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:50:10.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:12.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:12', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:50:14.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:14', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:16.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:16', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:50:18.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:50:20.605+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:20', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:50:22.606+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:22', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:50:24.606+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:24', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:50:26.607+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:26', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:28.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:50:30.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:30', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:32.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:50:34.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:34', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:36.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:36', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:50:38.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:40.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:40', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:50:42.613+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:42', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:44.616+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:44', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:50:46.617+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:46', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:50:48.617+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:48', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:50:50.616+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:50', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:50:52.617+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:52', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:50:54.618+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:54', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:50:56.621+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:50:56', 'level': 'INFO', 'message': 'Search executed'}
