[2025-05-31T14:45:09.787+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:45:09.892+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:45:00+00:00 [queued]>
[2025-05-31T14:45:09.936+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:45:00+00:00 [queued]>
[2025-05-31T14:45:09.943+0000] {taskinstance.py:2865} INFO - Starting attempt 4 of 2
[2025-05-31T14:45:10.048+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:45:00+00:00
[2025-05-31T14:45:10.182+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=217) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:45:10.203+0000] {standard_task_runner.py:72} INFO - Started process 230 to run task
[2025-05-31T14:45:10.197+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:45:00+00:00', '--job-id', '173', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp4bw7w5ew']
[2025-05-31T14:45:10.214+0000] {standard_task_runner.py:105} INFO - Job 173: Subtask start_log_producer
[2025-05-31T14:45:10.438+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:10.692+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:45:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:45:10.705+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:11.172+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:45:00+00:00'
[2025-05-31T14:45:11.176+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:45:11.425+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:45:11.446+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:45:11.519+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:45:18.696+0000] {job.py:229} INFO - Heartbeat recovered after 10.87 seconds
[2025-05-31T14:45:54.411+0000] {job.py:229} INFO - Heartbeat recovered after 36.71 seconds
[2025-05-31T14:46:09.129+0000] {job.py:229} INFO - Heartbeat recovered after 15.13 seconds
[2025-05-31T14:46:22.178+0000] {job.py:229} INFO - Heartbeat recovered after 14.08 seconds
[2025-05-31T14:46:32.253+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:32', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:34.618+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:36.619+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:36', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:38.619+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:38', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:40.620+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:40', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:42.620+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:42', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:44.621+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:44', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:46.656+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:46', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:48.656+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:48', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:50.656+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:50', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:52.657+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:52', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:54.956+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:56.957+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:56', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:58.957+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:58', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:00.958+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:00', 'level': 'INFO', 'message': 'User logged in'}
