[2025-05-28T05:55:03.211+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T05:55:03.273+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:50:00+00:00 [queued]>
[2025-05-28T05:55:03.303+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:50:00+00:00 [queued]>
[2025-05-28T05:55:03.304+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T05:55:03.352+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:50:00+00:00
[2025-05-28T05:55:03.366+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:50:00+00:00', '--job-id', '93', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp7zvxq5c9']
[2025-05-28T05:55:03.375+0000] {standard_task_runner.py:105} INFO - Job 93: Subtask start_log_producer
[2025-05-28T05:55:03.381+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=533) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T05:55:03.383+0000] {standard_task_runner.py:72} INFO - Started process 534 to run task
[2025-05-28T05:55:03.448+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:55:03.550+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:50:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T05:55:03.553+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T05:55:03.865+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:50:00+00:00'
[2025-05-28T05:55:03.871+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T05:55:04.041+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T05:55:04.048+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T05:55:04.075+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T05:55:06.308+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:55:08.414+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:08', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:55:10.415+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:55:12.415+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:55:14.416+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:14', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T05:55:16.416+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:55:18.417+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:18', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T05:55:20.413+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:20', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:55:22.413+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:22', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T05:55:24.414+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:55:26.414+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:26', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T05:55:28.415+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:55:30.415+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:30', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:55:32.416+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T05:55:34.416+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T05:55:36.417+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:36', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T05:55:38.417+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 05:55:38', 'level': 'WARNING', 'message': 'High memory usage'}
