[2025-05-31T14:45:09.787+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:45:09.850+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:50:00+00:00 [queued]>
[2025-05-31T14:45:09.890+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:50:00+00:00 [queued]>
[2025-05-31T14:45:09.893+0000] {taskinstance.py:2865} INFO - Starting attempt 4 of 2
[2025-05-31T14:45:10.067+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:50:00+00:00
[2025-05-31T14:45:10.194+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:50:00+00:00', '--job-id', '177', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp7s28b885']
[2025-05-31T14:45:10.208+0000] {standard_task_runner.py:105} INFO - Job 177: Subtask start_log_producer
[2025-05-31T14:45:10.223+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=218) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:45:10.224+0000] {standard_task_runner.py:72} INFO - Started process 233 to run task
[2025-05-31T14:45:10.435+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:10.733+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:50:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:45:10.739+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:11.158+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:50:00+00:00'
[2025-05-31T14:45:11.162+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:45:11.429+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:45:11.443+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:45:11.506+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:45:54.019+0000] {job.py:229} INFO - Heartbeat recovered after 36.33 seconds
[2025-05-31T14:46:09.022+0000] {job.py:229} INFO - Heartbeat recovered after 16.27 seconds
[2025-05-31T14:46:21.978+0000] {job.py:229} INFO - Heartbeat recovered after 15.02 seconds
[2025-05-31T14:46:32.273+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:35.269+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:35', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:46:37.270+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:37', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:39.270+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:39', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:41.271+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:41', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:43.272+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:43', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:45.685+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:45', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:47.720+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:49.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:49', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:51.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:51', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:53.722+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:53', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:46:56.083+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:56', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:58.220+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:58', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:00.220+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:02.221+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:02', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:04.222+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:04', 'level': 'INFO', 'message': 'Search executed'}
