[2025-05-28T06:00:02.631+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T06:00:02.679+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:55:00+00:00 [queued]>
[2025-05-28T06:00:02.723+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:55:00+00:00 [queued]>
[2025-05-28T06:00:02.724+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T06:00:02.775+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:55:00+00:00
[2025-05-28T06:00:02.807+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:55:00+00:00', '--job-id', '94', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpkotxphb3']
[2025-05-28T06:00:02.824+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=588) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T06:00:02.835+0000] {standard_task_runner.py:105} INFO - Job 94: Subtask start_log_producer
[2025-05-28T06:00:02.835+0000] {standard_task_runner.py:72} INFO - Started process 589 to run task
[2025-05-28T06:00:02.911+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:00:03.063+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:55:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T06:00:03.066+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:00:03.296+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:55:00+00:00'
[2025-05-28T06:00:03.299+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T06:00:03.418+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T06:00:03.456+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T06:00:03.490+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T06:00:05.771+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:05', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:00:07.878+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:00:09.879+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:00:11.880+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:00:13.880+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:00:15.881+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:15', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:00:17.881+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:17', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:00:19.894+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:19', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:00:22.003+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:22', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:00:24.004+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:24', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:00:26.005+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:26', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:00:28.006+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:28', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:00:30.006+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:30', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:00:32.007+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:32', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:00:34.007+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:34', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:00:36.008+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:36', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:00:38.008+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:38', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:00:40.009+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:40', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:00:42.009+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:42', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:00:44.010+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:44', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:00:46.010+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:46', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:00:48.012+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:48', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:00:50.009+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:50', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:00:52.010+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:52', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:00:54.010+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:54', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:00:56.011+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:00:58.012+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:00:58', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:01:00.012+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:01:02.013+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:02', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:01:04.013+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:01:06.014+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:06', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:01:08.015+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:08', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:01:10.015+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:01:12.015+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:12', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:01:14.016+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:01:16.017+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:16', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:01:18.018+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:18', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:01:20.015+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:20', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:01:22.016+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:01:24.016+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:01:26.016+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:26', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:01:28.017+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:28', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:01:30.017+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:30', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:01:32.018+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:01:34.018+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:34', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:01:36.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:36', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:01:38.020+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:38', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:01:40.022+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:40', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:01:42.024+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:01:42', 'level': 'ERROR', 'message': 'Database connection failed'}
