[2025-05-31T14:35:29.761+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:35:29.786+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:55:00+00:00 [queued]>
[2025-05-31T14:35:29.798+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:55:00+00:00 [queued]>
[2025-05-31T14:35:29.799+0000] {taskinstance.py:2865} INFO - Starting attempt 3 of 2
[2025-05-31T14:35:29.821+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 05:55:00+00:00
[2025-05-31T14:35:29.841+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=176) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:35:29.845+0000] {standard_task_runner.py:72} INFO - Started process 201 to run task
[2025-05-31T14:35:29.838+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T05:55:00+00:00', '--job-id', '140', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp6yojd397']
[2025-05-31T14:35:29.846+0000] {standard_task_runner.py:105} INFO - Job 140: Subtask start_log_producer
[2025-05-31T14:35:29.883+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:29.954+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T05:55:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:35:29.956+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:30.179+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T05:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T05:55:00+00:00'
[2025-05-31T14:35:30.181+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:35:30.211+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:35:30.214+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:35:30.232+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:35:32.531+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:32', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:35.324+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:38.293+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:38', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:40.460+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:40', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:40.488+0000] {job.py:229} INFO - Heartbeat recovered after 10.81 seconds
[2025-05-31T14:35:42.475+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:42', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:44.553+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:44', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:46.806+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:46', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:48.811+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:48', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:50.921+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:50', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:35:53.107+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:53', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:56.108+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:56', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:58.200+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:58', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:58.322+0000] {job.py:229} INFO - Heartbeat recovered after 12.10 seconds
[2025-05-31T14:36:00.355+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:00', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:36:03.050+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:02', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:36:05.702+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:05', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:36:07.214+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:07', 'level': 'ERROR', 'message': 'Database connection failed'}
