[2025-05-28T06:05:03.103+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T06:05:03.155+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:00:00+00:00 [queued]>
[2025-05-28T06:05:03.175+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:00:00+00:00 [queued]>
[2025-05-28T06:05:03.176+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T06:05:03.223+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 06:00:00+00:00
[2025-05-28T06:05:03.249+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=638) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T06:05:03.251+0000] {standard_task_runner.py:72} INFO - Started process 639 to run task
[2025-05-28T06:05:03.248+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T06:00:00+00:00', '--job-id', '95', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpl5d3rpsu']
[2025-05-28T06:05:03.252+0000] {standard_task_runner.py:105} INFO - Job 95: Subtask start_log_producer
[2025-05-28T06:05:03.298+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:05:03.388+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:00:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T06:05:03.392+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:05:03.849+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T06:00:00+00:00'
[2025-05-28T06:05:03.858+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T06:05:04.079+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T06:05:04.099+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T06:05:04.150+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T06:05:06.454+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:05:08.562+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:08', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:05:10.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:10', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:05:12.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:12', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:05:14.564+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:14', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:05:16.564+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:16', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:05:18.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:18', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:05:20.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:20', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:05:22.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:22', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:05:24.564+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:24', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:05:26.564+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:26', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:05:28.564+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:28', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:05:30.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:30', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:05:32.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:32', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:05:34.566+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:05:36.566+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:36', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:05:38.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:38', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:05:40.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:40', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:05:42.568+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:05:44.568+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:44', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:05:46.569+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:46', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:05:48.569+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:48', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:05:50.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:50', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:05:52.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:52', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:05:54.568+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:05:54', 'level': 'ERROR', 'message': 'Database connection failed'}
