[2025-05-28T06:10:03.262+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T06:10:03.336+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:05:00+00:00 [queued]>
[2025-05-28T06:10:03.375+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:05:00+00:00 [queued]>
[2025-05-28T06:10:03.376+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T06:10:03.450+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 06:05:00+00:00
[2025-05-28T06:10:03.514+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=693) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T06:10:03.489+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T06:05:00+00:00', '--job-id', '96', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp93iur6jp']
[2025-05-28T06:10:03.525+0000] {standard_task_runner.py:72} INFO - Started process 694 to run task
[2025-05-28T06:10:03.526+0000] {standard_task_runner.py:105} INFO - Job 96: Subtask start_log_producer
[2025-05-28T06:10:03.624+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:10:03.793+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:05:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T06:10:03.796+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:10:04.348+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T06:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T06:05:00+00:00'
[2025-05-28T06:10:04.354+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T06:10:04.637+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T06:10:04.649+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T06:10:04.692+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T06:10:07.077+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:10:09.184+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:09', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:10:11.185+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:10:13.185+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:13', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:10:15.186+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:15', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:10:17.186+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:17', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:10:19.187+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:19', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:10:21.183+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:10:23.183+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:23', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:10:25.184+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:25', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:10:27.184+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:27', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:10:29.185+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:29', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:10:31.185+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:31', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:10:33.186+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:33', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-28T06:10:35.186+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:10:37.187+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:37', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:10:39.188+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:10:39', 'level': 'ERROR', 'message': 'Database connection failed'}
