[2025-05-28T06:16:52.559+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-28T06:16:52.607+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:10:00+00:00 [queued]>
[2025-05-28T06:16:52.629+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:10:00+00:00 [queued]>
[2025-05-28T06:16:52.630+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-28T06:16:52.683+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 06:10:00+00:00
[2025-05-28T06:16:52.741+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=746) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-28T06:16:52.745+0000] {standard_task_runner.py:72} INFO - Started process 749 to run task
[2025-05-28T06:16:52.735+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T06:10:00+00:00', '--job-id', '97', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp1qaxr3ac']
[2025-05-28T06:16:52.747+0000] {standard_task_runner.py:105} INFO - Job 97: Subtask start_log_producer
[2025-05-28T06:16:52.798+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:16:52.870+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:10:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-28T06:16:52.873+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-28T06:16:53.152+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T06:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T06:10:00+00:00'
[2025-05-28T06:16:53.155+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-28T06:16:53.279+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-28T06:16:53.288+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-28T06:16:53.319+0000] {subprocess.py:86} INFO - Output:
[2025-05-28T06:16:55.453+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:16:55', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:16:57.606+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:16:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:16:59.607+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:16:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:17:01.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:01', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:17:03.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:03', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-28T06:17:05.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:05', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:17:07.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:17:09.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:17:11.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:17:13.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-28T06:17:15.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:17:17.600+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:17', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:17:19.600+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:19', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-28T06:17:21.601+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-28T06:17:23.602+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:23', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-28T06:17:25.602+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:25', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-28T06:17:27.639+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-28 06:17:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
