[2025-05-31T14:35:29.764+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:35:29.791+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:10:00+00:00 [queued]>
[2025-05-31T14:35:29.803+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:10:00+00:00 [queued]>
[2025-05-31T14:35:29.805+0000] {taskinstance.py:2865} INFO - Starting attempt 3 of 2
[2025-05-31T14:35:29.828+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 06:10:00+00:00
[2025-05-31T14:35:29.841+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=184) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:35:29.846+0000] {standard_task_runner.py:72} INFO - Started process 202 to run task
[2025-05-31T14:35:29.840+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T06:10:00+00:00', '--job-id', '141', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpodqmrups']
[2025-05-31T14:35:29.848+0000] {standard_task_runner.py:105} INFO - Job 141: Subtask start_log_producer
[2025-05-31T14:35:29.877+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:29.946+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:10:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:35:29.948+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:30.173+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T06:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T06:10:00+00:00'
[2025-05-31T14:35:30.177+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:35:30.212+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:35:30.215+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:35:30.232+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:35:32.584+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:32', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:35.982+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:38.289+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:38', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:40.461+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:40', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:35:42.467+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:42', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:44.477+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:44', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:46.809+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:46', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:48.823+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:48', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:50.910+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:50', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:53.338+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:53', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:56.109+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:56', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:58.144+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:58', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:36:00.355+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:00', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:36:02.686+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:02', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:36:04.894+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:04', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:36:08.110+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:08', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:36:10.127+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:10', 'level': 'WARNING', 'message': 'High memory usage'}
