[2025-05-31T14:35:32.644+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:35:32.694+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:20:00+00:00 [queued]>
[2025-05-31T14:35:32.709+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:20:00+00:00 [queued]>
[2025-05-31T14:35:32.714+0000] {taskinstance.py:2865} INFO - Starting attempt 4 of 2
[2025-05-31T14:35:32.745+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 06:20:00+00:00
[2025-05-31T14:35:32.786+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=182) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:35:32.791+0000] {standard_task_runner.py:72} INFO - Started process 224 to run task
[2025-05-31T14:35:32.788+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T06:20:00+00:00', '--job-id', '147', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpdj0_ejgn']
[2025-05-31T14:35:32.804+0000] {standard_task_runner.py:105} INFO - Job 147: Subtask start_log_producer
[2025-05-31T14:35:32.850+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:32.924+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:20:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:35:32.927+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:35:33.142+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T06:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T06:20:00+00:00'
[2025-05-31T14:35:33.151+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:35:33.188+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:35:33.192+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:35:33.213+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:35:43.301+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:35:49.046+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:49', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:35:51.720+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:51', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:35:55.124+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:54', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:35:57.135+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:57', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:35:59.137+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:35:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:36:01.696+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:01', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:36:04.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:04', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:36:06.111+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:06.848+0000] {job.py:229} INFO - Heartbeat recovered after 11.55 seconds
[2025-05-31T14:36:08.123+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:36:11.186+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:11', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:36:13.518+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:13', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:36:15.562+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:15', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:36:18.501+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:18', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:20.510+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:20', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:36:23.038+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:36:25.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:36:25', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
