[2025-05-31T14:45:09.895+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:45:09.969+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:20:00+00:00 [queued]>
[2025-05-31T14:45:09.994+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:20:00+00:00 [queued]>
[2025-05-31T14:45:09.995+0000] {taskinstance.py:2865} INFO - Starting attempt 5 of 2
[2025-05-31T14:45:10.067+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-28 06:20:00+00:00
[2025-05-31T14:45:10.164+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=221) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:45:10.172+0000] {standard_task_runner.py:72} INFO - Started process 234 to run task
[2025-05-31T14:45:10.180+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-28T06:20:00+00:00', '--job-id', '180', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpfhu8_pdf']
[2025-05-31T14:45:10.211+0000] {standard_task_runner.py:105} INFO - Job 180: Subtask start_log_producer
[2025-05-31T14:45:10.421+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:10.626+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-28T06:20:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:45:10.630+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:11.028+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T06:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='5' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T06:20:00+00:00'
[2025-05-31T14:45:11.033+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:45:11.437+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:45:11.484+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:45:11.531+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:45:36.011+0000] {job.py:229} INFO - Heartbeat recovered after 26.58 seconds
[2025-05-31T14:46:00.087+0000] {job.py:229} INFO - Heartbeat recovered after 27.69 seconds
[2025-05-31T14:46:24.353+0000] {job.py:229} INFO - Heartbeat recovered after 15.09 seconds
[2025-05-31T14:46:31.953+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:31', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:46:34.607+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:34', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:36.607+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:36', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:38.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:38', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:46:40.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:42.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:44.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:44', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:46.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:46', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:48.618+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:48', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:50.619+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:50', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:52.619+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:52', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:54.919+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:54', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:56.919+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:59.168+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:01.169+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:01', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:47:03.169+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:03', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:47:05.170+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:05', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:47:07.170+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:09.171+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:11.171+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:11', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:13.172+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:13', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:15.500+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:15', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:17.479+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:17', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:47:19.479+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:19', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:47:21.480+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:47:23.480+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:25.471+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:25', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:27.471+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:27', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:29.472+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:29', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:47:31.824+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:31', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:47:33.824+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:33', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:47:35.865+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:37.867+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:37', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:47:39.874+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:39', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:41.883+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:41', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:47:44.009+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:44', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:47:46.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:46', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
