[2025-05-31T14:45:09.800+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:45:09.901+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:35:00+00:00 [queued]>
[2025-05-31T14:45:09.963+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:35:00+00:00 [queued]>
[2025-05-31T14:45:09.966+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T14:45:10.033+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 14:35:00+00:00
[2025-05-31T14:45:10.192+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=223) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:45:10.204+0000] {standard_task_runner.py:72} INFO - Started process 236 to run task
[2025-05-31T14:45:10.205+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T14:35:00+00:00', '--job-id', '176', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpvrrbmoii']
[2025-05-31T14:45:10.220+0000] {standard_task_runner.py:105} INFO - Job 176: Subtask start_log_producer
[2025-05-31T14:45:10.423+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:10.625+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:35:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:45:10.633+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:11.021+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T14:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T14:35:00+00:00'
[2025-05-31T14:45:11.029+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:45:11.434+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:45:11.453+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:45:11.530+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:45:43.378+0000] {job.py:229} INFO - Heartbeat recovered after 33.97 seconds
[2025-05-31T14:46:00.084+0000] {job.py:229} INFO - Heartbeat recovered after 18.04 seconds
[2025-05-31T14:46:31.954+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:31', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:34.618+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:34', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:36.619+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:36', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:38.619+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:38', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:40.620+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:40', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:42.742+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:42', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:44.742+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:44', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:46:46.743+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:46', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:46:48.743+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:50.743+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:50', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:52.744+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:52', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:55.043+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:55', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:57.914+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:00.005+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:00', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:47:02.006+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:02', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:04.006+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:04', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:47:06.007+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:06', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:47:08.007+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:10.119+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:12.120+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:12', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:47:14.132+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:14', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:16.138+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:18.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:18', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:47:20.339+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:20', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:22.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:22', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:24.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:24', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:26.331+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:26', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:47:28.331+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:28', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:47:30.378+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:47:32.379+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:32', 'level': 'INFO', 'message': 'Search executed'}
