[2025-05-31T14:45:09.810+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:45:09.939+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:40:00+00:00 [queued]>
[2025-05-31T14:45:09.987+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:40:00+00:00 [queued]>
[2025-05-31T14:45:09.992+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T14:45:10.072+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 14:40:00+00:00
[2025-05-31T14:45:10.169+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=225) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:45:10.175+0000] {standard_task_runner.py:72} INFO - Started process 232 to run task
[2025-05-31T14:45:10.182+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T14:40:00+00:00', '--job-id', '175', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpnxs25hab']
[2025-05-31T14:45:10.195+0000] {standard_task_runner.py:105} INFO - Job 175: Subtask start_log_producer
[2025-05-31T14:45:10.452+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:10.780+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:40:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:45:10.787+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:45:11.213+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T14:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T14:40:00+00:00'
[2025-05-31T14:45:11.217+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:45:11.431+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:45:11.445+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:45:11.524+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:45:59.404+0000] {job.py:229} INFO - Heartbeat recovered after 41.66 seconds
[2025-05-31T14:46:09.736+0000] {job.py:229} INFO - Heartbeat recovered after 14.12 seconds
[2025-05-31T14:46:22.303+0000] {job.py:229} INFO - Heartbeat recovered after 12.84 seconds
[2025-05-31T14:46:31.958+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:31', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:32.486+0000] {job.py:229} INFO - Heartbeat recovered after 13.06 seconds
[2025-05-31T14:46:34.607+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:34', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:46:36.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:36', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:38.867+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:38', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:46:40.868+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:40', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:42.868+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:42', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:44.869+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:44', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:46:46.869+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:46', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:46:48.870+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:50.870+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:50', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:52.871+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:52', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:55.170+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:55', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:46:57.171+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:57', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:46:59.171+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:46:59', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:47:01.172+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:01', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:47:03.172+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:47:05.173+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:47:05', 'level': 'WARNING', 'message': 'High memory usage'}
