[2025-05-31T14:50:13.622+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T14:50:13.863+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:45:00+00:00 [queued]>
[2025-05-31T14:50:13.908+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:45:00+00:00 [queued]>
[2025-05-31T14:50:13.953+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T14:50:14.218+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 14:45:00+00:00
[2025-05-31T14:50:15.216+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=315) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T14:50:15.403+0000] {standard_task_runner.py:72} INFO - Started process 316 to run task
[2025-05-31T14:50:15.115+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T14:45:00+00:00', '--job-id', '184', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp6khydvxz']
[2025-05-31T14:50:16.307+0000] {standard_task_runner.py:105} INFO - Job 184: Subtask start_log_producer
[2025-05-31T14:50:17.336+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:50:19.258+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:45:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T14:50:19.260+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T14:50:20.966+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T14:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T14:45:00+00:00'
[2025-05-31T14:50:21.228+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T14:50:21.801+0000] {job.py:229} INFO - Heartbeat recovered after 10.63 seconds
[2025-05-31T14:50:22.106+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T14:50:22.109+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T14:50:22.747+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T14:50:28.868+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:50:31.084+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:31', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:50:33.084+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:33', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:50:35.085+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:50:37.086+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:37', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:50:39.086+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:39', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:50:41.086+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:41', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:50:43.087+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:43', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:50:45.087+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:45', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:50:47.088+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:50:49.088+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:49', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:50:51.089+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:51', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:50:53.089+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:53', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:50:55.090+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:55', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:50:56.890+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:56', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:50:58.890+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:50:58', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:51:00.891+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:00', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:02.891+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:02', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:51:04.892+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:04', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:06.893+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:51:08.893+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:51:10.894+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:10', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:51:12.894+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:12', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:14.895+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:51:16.895+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:18.896+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:20.896+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:20', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:51:22.897+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:22', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:51:24.897+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:51:26.862+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:26', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:51:28.880+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:28', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:51:30.880+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:30', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:51:33.065+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:33', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:51:35.047+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:35', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:51:37.048+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:37', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:51:39.048+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:39', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:41.049+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:41', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:43.049+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:45.050+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:45', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:51:47.050+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:51:49.051+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:49', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:51:51.051+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:51', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:51:53.052+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:53', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:51:55.053+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:55', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:51:57.046+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:51:59.046+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:51:59', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:52:01.081+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:01', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:52:03.082+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:03', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T14:52:05.082+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:05', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:52:07.083+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:07', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:52:09.083+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:52:11.084+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:11', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:52:13.084+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:52:15.085+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:52:17.085+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:17', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:52:19.086+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:52:21.086+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:21', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T14:52:23.086+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:23', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:52:25.087+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:25', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:52:27.083+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:52:29.083+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:29', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T14:52:31.083+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:31', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:52:33.084+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:33', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T14:52:35.084+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T14:52:37.085+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:37', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T14:52:39.085+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:39', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T14:52:41.085+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 14:52:41', 'level': 'INFO', 'message': 'Page loaded'}
