[2025-05-31T15:31:51.395+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:31:51.941+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:55:00+00:00 [queued]>
[2025-05-31T15:31:51.952+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:55:00+00:00 [queued]>
[2025-05-31T15:31:51.953+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:31:52.231+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 14:55:00+00:00
[2025-05-31T15:31:52.240+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=388) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:31:52.401+0000] {standard_task_runner.py:72} INFO - Started process 393 to run task
[2025-05-31T15:31:52.453+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T14:55:00+00:00', '--job-id', '186', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpim0px7_u']
[2025-05-31T15:31:52.460+0000] {standard_task_runner.py:105} INFO - Job 186: Subtask start_log_producer
[2025-05-31T15:31:56.044+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:32:05.170+0000] {job.py:229} INFO - Heartbeat recovered after 20.77 seconds
[2025-05-31T15:32:08.319+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T14:55:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:32:08.475+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:32:23.518+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T14:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T14:55:00+00:00'
[2025-05-31T15:32:23.636+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:32:27.325+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:32:27.327+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:32:27.354+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:32:49.466+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:32:49', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:32:52.246+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:32:51', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:32:54.603+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:32:54', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:32:57.301+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:32:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:32:59.301+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:32:59', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:33:01.302+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:01', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:33:03.302+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:03', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:05.302+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:05', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:07.303+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:09.442+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:11.491+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:11', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:33:13.492+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:33:15.492+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:15', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:33:17.531+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:17', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:19.531+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:33:21.532+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:21', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:23.933+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:23', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:33:25.934+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:25', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:33:28.033+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:33:30.146+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:30', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:33:32.146+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:32', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:34.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:34', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:33:36.623+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:36', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:33:38.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:33:40.257+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:33:42.258+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:42', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:33:44.258+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:44', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:33:46.498+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:46', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:33:48.426+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:48', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:33:51.466+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:50', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:33:53.466+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:53', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:33:55.467+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:55', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:33:57.467+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:33:59.524+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:01.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:01', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:34:04.154+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:06.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:08.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:08', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:34:09.437+0000] {job.py:229} INFO - Heartbeat recovered after 11.41 seconds
[2025-05-31T15:34:10.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:12.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:12', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:34:14.198+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:34:16.198+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:16', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:18.172+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:18', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:20.172+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:20', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:22.173+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:22', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:24.173+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:24', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:34:26.174+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:26', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:34:28.174+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:28', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:34:30.175+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:30', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:34:32.175+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:32', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:34:34.176+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:34', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:36.176+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:36', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:34:38.177+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:40.177+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:40', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:34:42.397+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:44.397+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:44', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:46.408+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:46', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:34:48.388+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:48', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:34:50.389+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:50', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:34:52.430+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:52', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:54.431+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:56.520+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:56', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:34:58.959+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:58', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:00.521+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:02.541+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:02', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:04.558+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:04', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:35:06.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:06', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:35:08.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:08', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:10.599+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:12.599+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:12', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:14.783+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:16.749+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:16', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:35:18.749+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:18', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:35:20.749+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:20', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:35:22.750+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:22', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:24.750+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:26.751+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:26', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
