[2025-05-31T15:33:03.418+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:33:04.159+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:25:00+00:00 [queued]>
[2025-05-31T15:33:04.168+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:25:00+00:00 [queued]>
[2025-05-31T15:33:04.169+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:33:04.187+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:25:00+00:00
[2025-05-31T15:33:07.234+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=402) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:33:07.303+0000] {standard_task_runner.py:72} INFO - Started process 403 to run task
[2025-05-31T15:33:04.502+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T15:25:00+00:00', '--job-id', '187', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpjl5imi2p']
[2025-05-31T15:33:07.455+0000] {standard_task_runner.py:105} INFO - Job 187: Subtask start_log_producer
[2025-05-31T15:33:11.855+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:33:12.727+0000] {job.py:229} INFO - Heartbeat recovered after 10.99 seconds
[2025-05-31T15:33:12.843+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:25:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:33:12.845+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:33:17.150+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T15:25:00+00:00'
[2025-05-31T15:33:17.225+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:33:17.245+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:33:17.247+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:33:17.260+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:33:54.233+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:54', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:33:57.952+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:33:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:00.131+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:00', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:01.651+0000] {job.py:229} INFO - Heartbeat recovered after 13.11 seconds
[2025-05-31T15:34:02.310+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:02', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:04.311+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:04', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:06.310+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:34:08.349+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:08', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:34:10.361+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:12.362+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:14.715+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:16.689+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:16', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:18.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:18', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:20.690+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:20', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:22.768+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:22', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:24.856+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:26.857+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:28.857+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:28', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:34:30.860+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:32.861+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:32', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:34:34.861+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:34', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:34:36.862+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:36', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:34:38.862+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:38', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:34:40.863+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:34:42.863+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:34:42', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
