[2025-05-31T15:35:00.795+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:35:00.811+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:30:00+00:00 [queued]>
[2025-05-31T15:35:00.821+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:30:00+00:00 [queued]>
[2025-05-31T15:35:00.822+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:35:00.839+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:30:00+00:00
[2025-05-31T15:35:00.848+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=426) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:35:00.850+0000] {standard_task_runner.py:72} INFO - Started process 427 to run task
[2025-05-31T15:35:00.849+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T15:30:00+00:00', '--job-id', '192', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp2uhl9so2']
[2025-05-31T15:35:00.852+0000] {standard_task_runner.py:105} INFO - Job 192: Subtask start_log_producer
[2025-05-31T15:35:00.874+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:35:00.912+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:30:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:35:00.914+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:35:01.014+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T15:30:00+00:00'
[2025-05-31T15:35:01.015+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:35:01.032+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:35:01.034+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:35:01.047+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:35:02.770+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:02', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:35:05.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:05', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:07.002+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:07', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:35:09.002+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:11.003+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:35:13.035+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:13', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:35:15.071+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:15', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:35:17.036+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:17', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:19.036+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:21.037+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:21', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:23.037+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:23', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:35:25.038+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:25', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:35:27.039+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:29.040+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:29', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:35:31.040+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:31', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:35:33.041+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:33', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:35:35.041+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:35:35', 'level': 'ERROR', 'message': 'Database connection failed'}
