[2025-05-31T15:47:45.909+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:47:46.225+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:35:00+00:00 [queued]>
[2025-05-31T15:47:46.411+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:35:00+00:00 [queued]>
[2025-05-31T15:47:46.412+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:47:46.435+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:35:00+00:00
[2025-05-31T15:47:46.446+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T15:35:00+00:00', '--job-id', '194', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpt_rmg_f1']
[2025-05-31T15:47:46.652+0000] {standard_task_runner.py:105} INFO - Job 194: Subtask start_log_producer
[2025-05-31T15:47:47.254+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=461) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:47:47.537+0000] {standard_task_runner.py:72} INFO - Started process 468 to run task
[2025-05-31T15:47:47.796+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:47:53.419+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:35:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:47:53.421+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:47:53.787+0000] {job.py:229} INFO - Heartbeat recovered after 27.54 seconds
[2025-05-31T15:47:55.133+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T15:35:00+00:00'
[2025-05-31T15:47:55.134+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:47:55.152+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:47:55.565+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:47:55.580+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:47:58.196+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:47:58', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:00.300+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:00', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:02.574+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:02', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:48:04.575+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:06.824+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:08.825+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:10.851+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:12.852+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:12', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:14.937+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:14', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:16.938+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:16', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:48:18.938+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:18', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:48:20.939+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:20', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:22.939+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:24.947+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:24', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:26.947+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:26', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:28.948+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:30.948+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:30', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:32.948+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:32', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:35.326+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:37.326+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:37', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:48:39.326+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:39', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:48:41.326+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:41', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:43.414+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:43', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:48:45.414+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:45', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:47.431+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:49.534+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:49', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:51.549+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:51', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:53.723+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:53', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:48:55.724+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:55', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:57.724+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:57', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:59.725+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:49:01.725+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:01', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:49:03.829+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:03', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:49:05.829+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:05', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:07.832+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:49:09.832+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:49:11.832+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:11', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:49:13.833+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:13', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:15.998+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:15', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:17.998+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:17', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:49:19.999+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:19', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:49:21.999+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:21', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:24.000+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:24', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:26.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:28.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:28', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:49:30.002+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:30', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:32.002+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:49:34.003+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:34', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:36.003+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:36', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:49:38.004+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:38', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:49:40.003+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:40', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:42.004+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:44.018+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:44', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:49:46.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:46', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:48.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:48', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
