[2025-05-31T15:47:29.498+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:47:42.090+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:40:00+00:00 [queued]>
[2025-05-31T15:47:42.972+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:40:00+00:00 [queued]>
[2025-05-31T15:47:43.570+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:47:45.125+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:40:00+00:00
[2025-05-31T15:47:45.137+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=462) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:47:45.637+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T15:40:00+00:00', '--job-id', '193', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpjg3y88sn']
[2025-05-31T15:47:45.747+0000] {standard_task_runner.py:72} INFO - Started process 463 to run task
[2025-05-31T15:47:45.748+0000] {standard_task_runner.py:105} INFO - Job 193: Subtask start_log_producer
[2025-05-31T15:47:45.897+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:47:47.863+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:40:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:47:47.865+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:47:53.425+0000] {job.py:229} INFO - Heartbeat recovered after 27.09 seconds
[2025-05-31T15:47:53.593+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T15:40:00+00:00'
[2025-05-31T15:47:53.595+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:47:55.100+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:47:55.101+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:47:55.110+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:47:57.198+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:47:57', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:47:59.431+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:47:59', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:01.478+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:01', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:03.484+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:05.484+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:05', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:07.485+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:07', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:09.564+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:11.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:11', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:48:13.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:13', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:15.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:15', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:17.566+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:17', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:48:19.566+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:21.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:21', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:23.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:48:25.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:25', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:27.568+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:27', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:29.568+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:29', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:48:31.569+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:33.569+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:33', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:35.570+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:37.570+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:37', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:39.570+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:39', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:48:41.570+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:41', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:48:43.571+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:45.571+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:45', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:48:47.571+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:47', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:49.668+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:49', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:48:51.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:51', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:53.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:53', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:48:55.722+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:55', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:48:57.722+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:57', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:48:59.848+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:48:59', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:49:01.911+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:01', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:49:03.912+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:49:03', 'level': 'INFO', 'message': 'Page loaded'}
