[2025-05-31T15:50:04.354+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:50:04.374+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:45:00+00:00 [queued]>
[2025-05-31T15:50:04.388+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:45:00+00:00 [queued]>
[2025-05-31T15:50:04.389+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:50:04.544+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:45:00+00:00
[2025-05-31T15:50:04.556+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=496) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:50:04.557+0000] {standard_task_runner.py:72} INFO - Started process 497 to run task
[2025-05-31T15:50:04.556+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T15:45:00+00:00', '--job-id', '195', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmptjp0ybx6']
[2025-05-31T15:50:04.558+0000] {standard_task_runner.py:105} INFO - Job 195: Subtask start_log_producer
[2025-05-31T15:50:04.600+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:50:04.642+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:45:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:50:04.644+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:50:04.750+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T15:45:00+00:00'
[2025-05-31T15:50:04.751+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:50:04.771+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:50:04.772+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:50:04.781+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:50:06.590+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:50:08.696+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:08', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:50:10.695+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:10', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:50:12.696+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:12', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:50:14.696+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:14', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:50:16.734+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:16', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:50:18.735+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:50:20.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:20', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:50:22.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:22', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:50:24.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:24', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:50:26.737+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:26', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:50:28.737+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:28', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:50:30.738+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:30', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:50:32.738+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:32', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:50:34.739+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:50:36.739+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:36', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:50:38.739+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:50:38', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
