[2025-05-31T15:55:18.597+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T15:55:18.617+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:50:00+00:00 [queued]>
[2025-05-31T15:55:18.627+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:50:00+00:00 [queued]>
[2025-05-31T15:55:18.628+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T15:55:18.645+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:50:00+00:00
[2025-05-31T15:55:18.653+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=549) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T15:55:18.654+0000] {standard_task_runner.py:72} INFO - Started process 552 to run task
[2025-05-31T15:55:18.653+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T15:50:00+00:00', '--job-id', '198', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpjhgt0c81']
[2025-05-31T15:55:18.655+0000] {standard_task_runner.py:105} INFO - Job 198: Subtask start_log_producer
[2025-05-31T15:55:19.080+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:55:20.211+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:50:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T15:55:20.213+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T15:55:22.018+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T15:50:00+00:00'
[2025-05-31T15:55:22.041+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T15:55:22.452+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T15:55:22.461+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T15:55:22.470+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T15:55:29.958+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:29', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:55:32.093+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:32', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:55:34.093+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:34', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:55:36.094+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:36', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:55:38.094+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:38', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:55:40.094+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:55:42.095+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:42', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:55:44.096+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:44', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:55:46.096+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:46', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:55:48.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:48', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:55:50.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:50', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:55:52.098+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:52', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:55:54.098+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:55:56.099+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:56', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:55:58.099+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:55:58', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:56:00.100+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:56:02.100+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:02', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T15:56:04.100+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:04', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T15:56:06.101+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T15:56:08.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:08', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:56:10.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:10', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:56:12.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:12', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T15:56:14.103+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:14', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T15:56:16.103+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:16', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T15:56:18.104+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T15:56:20.170+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 15:56:20', 'level': 'ERROR', 'message': 'Database connection failed'}
