[2025-05-31T16:02:05.310+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T16:02:05.458+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:55:00+00:00 [queued]>
[2025-05-31T16:02:05.471+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:55:00+00:00 [queued]>
[2025-05-31T16:02:05.472+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T16:02:05.545+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 15:55:00+00:00
[2025-05-31T16:02:05.553+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T15:55:00+00:00', '--job-id', '200', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpqx9yyp70']
[2025-05-31T16:02:05.559+0000] {standard_task_runner.py:105} INFO - Job 200: Subtask start_log_producer
[2025-05-31T16:02:05.755+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=594) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T16:02:05.756+0000] {standard_task_runner.py:72} INFO - Started process 595 to run task
[2025-05-31T16:02:06.014+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:02:06.460+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T15:55:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T16:02:06.461+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:02:07.559+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T15:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T15:55:00+00:00'
[2025-05-31T16:02:07.560+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T16:02:07.600+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T16:02:07.603+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T16:02:07.616+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T16:02:10.054+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:10', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:02:12.159+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:02:14.163+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:02:16.164+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:02:18.164+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:18', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:02:20.165+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:20', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:02:22.165+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:22', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:02:24.166+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:24', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:02:26.166+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:26', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:02:28.167+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:28', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:02:30.168+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:30', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:02:32.168+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:32', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:02:34.168+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:34', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:02:36.169+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:36', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:02:38.169+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:02:40.169+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:02:42.170+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:02:42', 'level': 'INFO', 'message': 'Page loaded'}
