[2025-05-31T16:05:03.556+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T16:05:03.572+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:00:00+00:00 [queued]>
[2025-05-31T16:05:03.583+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:00:00+00:00 [queued]>
[2025-05-31T16:05:03.584+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T16:05:03.605+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:00:00+00:00
[2025-05-31T16:05:03.619+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=624) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T16:05:03.622+0000] {standard_task_runner.py:72} INFO - Started process 625 to run task
[2025-05-31T16:05:03.617+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:00:00+00:00', '--job-id', '201', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp5crdz8ff']
[2025-05-31T16:05:03.623+0000] {standard_task_runner.py:105} INFO - Job 201: Subtask start_log_producer
[2025-05-31T16:05:03.812+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:05:03.852+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:00:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T16:05:03.854+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:05:04.163+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:00:00+00:00'
[2025-05-31T16:05:04.164+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T16:05:04.187+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T16:05:04.190+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T16:05:04.210+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T16:05:05.657+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:05', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:05:07.812+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:07', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:05:09.812+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:05:11.812+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:05:13.812+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:13', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:05:15.813+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:15', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:05:17.813+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:17', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:05:19.814+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:19', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:05:21.814+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:21', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:05:23.815+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:05:25.815+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:25', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:05:28.071+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:05:30.072+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:05:32.072+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:05:34.073+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:34', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:05:36.073+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:36', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:05:38.074+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:05:38', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
