[2025-05-31T16:10:07.451+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T16:10:07.466+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:05:00+00:00 [queued]>
[2025-05-31T16:10:07.587+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:05:00+00:00 [queued]>
[2025-05-31T16:10:07.588+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T16:10:09.903+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:05:00+00:00
[2025-05-31T16:10:10.718+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=679) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T16:10:10.721+0000] {standard_task_runner.py:72} INFO - Started process 680 to run task
[2025-05-31T16:10:10.857+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:05:00+00:00', '--job-id', '202', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp_cd7ablx']
[2025-05-31T16:10:10.859+0000] {standard_task_runner.py:105} INFO - Job 202: Subtask start_log_producer
[2025-05-31T16:10:10.881+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:10:11.004+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:05:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T16:10:11.055+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:10:17.908+0000] {job.py:229} INFO - Heartbeat recovered after 10.59 seconds
[2025-05-31T16:10:36.078+0000] {job.py:229} INFO - Heartbeat recovered after 18.46 seconds
[2025-05-31T16:10:37.598+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:05:00+00:00'
[2025-05-31T16:10:37.767+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T16:10:37.793+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T16:10:37.795+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T16:10:38.004+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T16:10:42.922+0000] {job.py:229} INFO - Heartbeat recovered after 14.89 seconds
[2025-05-31T16:10:42.983+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:42', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:10:45.091+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:45', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:10:47.092+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:47', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:10:49.247+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:49', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:10:51.579+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:51', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:10:53.474+0000] {job.py:229} INFO - Heartbeat recovered after 10.77 seconds
[2025-05-31T16:10:53.732+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:53', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:10:55.838+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:55', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:10:57.839+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:57', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:10:59.946+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:10:59', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:11:02.154+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:02', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:11:04.148+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:04', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:11:06.145+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:11:08.189+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:11:10.073+0000] {job.py:229} INFO - Heartbeat recovered after 10.92 seconds
[2025-05-31T16:11:10.253+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:10', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:11:12.250+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:12', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:11:14.251+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:11:16.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:11:18.340+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:11:20.341+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:20', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:11:22.452+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:22', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:11:24.453+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:24', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:11:26.453+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:11:28.454+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:11:30.454+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:30', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:11:32.455+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:11:35.980+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:11:38.699+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:38', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:11:40.894+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:40', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:11:44.872+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:44', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:11:45.695+0000] {job.py:229} INFO - Heartbeat recovered after 13.28 seconds
[2025-05-31T16:11:47.026+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:47', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:11:49.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:49', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:11:51.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:51', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:11:53.028+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:53', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:11:55.028+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:55', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:11:57.028+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:11:59.029+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:11:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:12:01.029+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:01', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:12:03.030+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:03', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:12:05.030+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:05', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:12:07.031+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:07', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:12:09.031+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:09', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:12:11.043+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:11', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:12:13.045+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:12:15.046+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:15', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:12:17.047+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:17', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:12:19.047+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:12:21.048+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:12:23.048+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:23', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:12:25.049+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:25', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:12:27.049+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:27', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:12:29.050+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:29', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:12:31.050+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:31', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:12:33.051+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:33', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:12:35.052+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:35', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:12:37.053+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:37', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:12:39.053+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:39', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:12:41.053+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:41', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:12:43.054+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:43', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:12:45.055+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:45', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:12:47.055+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:47', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:12:49.056+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:49', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:12:51.056+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:51', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:12:53.057+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:53', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:12:55.057+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:55', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:12:57.058+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:57', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:12:59.058+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:12:59', 'level': 'WARNING', 'message': 'Slow response time'}
