[2025-05-31T16:36:51.403+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T16:36:51.450+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:30:00+00:00 [queued]>
[2025-05-31T16:36:51.470+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:30:00+00:00 [queued]>
[2025-05-31T16:36:51.470+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T16:36:51.505+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:30:00+00:00
[2025-05-31T16:36:51.604+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=823) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T16:36:51.632+0000] {standard_task_runner.py:72} INFO - Started process 829 to run task
[2025-05-31T16:36:51.697+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:30:00+00:00', '--job-id', '218', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp9zlj8l2a']
[2025-05-31T16:36:51.764+0000] {standard_task_runner.py:105} INFO - Job 218: Subtask start_log_producer
[2025-05-31T16:36:52.189+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:36:52.469+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:30:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T16:36:52.471+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:36:52.855+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:30:00+00:00'
[2025-05-31T16:36:52.857+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T16:36:53.476+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T16:36:53.478+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T16:36:53.531+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T16:36:55.430+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:36:55', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:36:57.573+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:36:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:36:59.574+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:36:59', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:37:01.574+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:01', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:37:03.575+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:37:05.575+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:05', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:37:07.576+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:37:09.576+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:37:11.577+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:11', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:37:13.577+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:13', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:37:15.578+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:37:17.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:17', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:37:19.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:19', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:37:21.610+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:21', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:37:23.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:23', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:37:25.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:25', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:37:27.612+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:37:27', 'level': 'WARNING', 'message': 'High memory usage'}
