[2025-05-31T17:26:32.505+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:26:32.525+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:30:00+00:00 [queued]>
[2025-05-31T17:26:32.535+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:30:00+00:00 [queued]>
[2025-05-31T17:26:32.536+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-31T17:26:32.658+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:30:00+00:00
[2025-05-31T17:26:32.667+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1113) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:26:32.667+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:30:00+00:00', '--job-id', '233', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpmr4jw643']
[2025-05-31T17:26:32.670+0000] {standard_task_runner.py:72} INFO - Started process 1119 to run task
[2025-05-31T17:26:32.670+0000] {standard_task_runner.py:105} INFO - Job 233: Subtask start_log_producer
[2025-05-31T17:26:32.691+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:26:32.731+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:30:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:26:32.733+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:26:32.888+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:30:00+00:00'
[2025-05-31T17:26:32.890+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:26:32.912+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:26:32.931+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:26:33.111+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:26:43.538+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:43', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:45.830+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:45', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:47.871+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:50.076+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:50', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:52.263+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:52', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:54.497+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:54', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:56.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:56', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:58.489+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:58', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:00.491+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:27:02.775+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:02', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:04.796+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:04', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:27:07.029+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:07', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:27:09.033+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:27:11.205+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:11', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:27:12.846+0000] {job.py:229} INFO - Heartbeat recovered after 16.83 seconds
[2025-05-31T17:27:13.139+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:27:14.915+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:14', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:17.068+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:17', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:19.068+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:27:21.123+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:27:23.142+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:23', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:27:25.143+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:25', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:27.143+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:27', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:29.144+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:29', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:27:31.157+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:33.158+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:33', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:27:35.159+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:37.160+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:37', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:39.230+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:39', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:41.230+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:41', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:27:43.231+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:43', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:45.205+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:45', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:47.206+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:49.206+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:49', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:27:51.207+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:51', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:53.208+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:53', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:55.208+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:55', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:27:57.209+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:27:59.209+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:01.209+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:01', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:03.210+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:03', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:28:05.210+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:05', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:07.211+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:07', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:28:09.211+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:09', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:28:11.212+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:13.212+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:15.215+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:15', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:17.215+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:17', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:19.216+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:19', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:28:21.216+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:28:23.217+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:23', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:25.217+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:25', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:28:27.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:29.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:29', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:28:31.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:31', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:28:33.219+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:33', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:35.240+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:28:37.241+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:37', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:39.241+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:39', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:41.241+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:41', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:43.242+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:43', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:45.242+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:45', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:47.243+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:49.243+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:49', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:28:51.244+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:51', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:53.244+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:53', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:28:55.244+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:55', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:28:57.245+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:57', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:28:59.245+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:28:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:29:01.246+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:01', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:29:03.246+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:29:05.246+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:05', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:29:07.247+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:29:09.247+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:29:11.248+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:11', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:29:13.248+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:29:15.248+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:29:15', 'level': 'WARNING', 'message': 'Slow response time'}
