[2025-05-31T16:40:02.747+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T16:40:02.859+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:35:00+00:00 [queued]>
[2025-05-31T16:40:02.869+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:35:00+00:00 [queued]>
[2025-05-31T16:40:02.869+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T16:40:02.889+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:35:00+00:00
[2025-05-31T16:40:02.903+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=863) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T16:40:02.906+0000] {standard_task_runner.py:72} INFO - Started process 864 to run task
[2025-05-31T16:40:02.901+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:35:00+00:00', '--job-id', '219', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpb8z4bp1j']
[2025-05-31T16:40:02.907+0000] {standard_task_runner.py:105} INFO - Job 219: Subtask start_log_producer
[2025-05-31T16:40:02.979+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:40:03.038+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:35:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T16:40:03.040+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:40:03.146+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:35:00+00:00'
[2025-05-31T16:40:03.147+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T16:40:03.168+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T16:40:03.169+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T16:40:03.183+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T16:40:03.916+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:03', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:40:06.025+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:06', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:40:08.026+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:08', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:40:10.026+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:10', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:40:12.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:12', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:40:14.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:14', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:40:16.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:40:18.026+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:18', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:40:20.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:20', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:40:22.027+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:22', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:40:24.028+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:24', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:40:26.028+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:40:28.029+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:28', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:40:30.029+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:30', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:40:32.029+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:32', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:40:34.030+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:34', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:40:36.030+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:40:36', 'level': 'INFO', 'message': 'Search executed'}
