[2025-05-31T17:00:29.386+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:00:29.407+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:35:00+00:00 [queued]>
[2025-05-31T17:00:29.422+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:35:00+00:00 [queued]>
[2025-05-31T17:00:29.424+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-31T17:00:29.449+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:35:00+00:00
[2025-05-31T17:00:29.490+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=959) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:00:29.493+0000] {standard_task_runner.py:72} INFO - Started process 963 to run task
[2025-05-31T17:00:29.489+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:35:00+00:00', '--job-id', '225', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpt9qmbwv7']
[2025-05-31T17:00:29.503+0000] {standard_task_runner.py:105} INFO - Job 225: Subtask start_log_producer
[2025-05-31T17:00:29.529+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:00:29.570+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:35:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:00:29.572+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:00:29.689+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:35:00+00:00'
[2025-05-31T17:00:29.690+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:00:29.720+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:00:29.748+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:00:29.790+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:00:30.689+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:30', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:00:32.821+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:32', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:34.821+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:34', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:36.822+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:36', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:00:38.822+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:38', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:40.822+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:40', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:42.823+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:42', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:44.823+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:44', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:46.824+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:46', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:48.824+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:48', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:50.825+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:50', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:00:52.825+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:52', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:00:54.826+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:54', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:56.826+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:56', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:00:58.826+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:58', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:01:00.827+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:01:00', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:01:02.825+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:01:02', 'level': 'WARNING', 'message': 'Slow response time'}
