[2025-05-31T17:00:28.240+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:00:28.265+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:40:00+00:00 [queued]>
[2025-05-31T17:00:28.279+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:40:00+00:00 [queued]>
[2025-05-31T17:00:28.280+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-31T17:00:28.301+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:40:00+00:00
[2025-05-31T17:00:28.311+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=953) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:00:28.310+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:40:00+00:00', '--job-id', '224', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpxo_wymir']
[2025-05-31T17:00:28.313+0000] {standard_task_runner.py:72} INFO - Started process 960 to run task
[2025-05-31T17:00:28.313+0000] {standard_task_runner.py:105} INFO - Job 224: Subtask start_log_producer
[2025-05-31T17:00:28.481+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:00:28.527+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:40:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:00:28.529+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:00:28.700+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:40:00+00:00'
[2025-05-31T17:00:28.702+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:00:28.722+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:00:28.791+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:00:28.801+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:00:29.801+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:29', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:00:31.906+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:31', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:00:33.904+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:33', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:00:35.904+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:35', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:00:37.905+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:37', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:39.905+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:39', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:41.905+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:41', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:00:43.906+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:43', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:45.906+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:45', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:47.907+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:47', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:49.907+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:49', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:51.908+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:51', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:53.922+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:53', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:00:55.923+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:55', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:57.923+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:57', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:59.924+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:01:01.924+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:01:01', 'level': 'INFO', 'message': 'User logged in'}
