[2025-05-31T16:58:45.534+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T16:58:46.446+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:45:00+00:00 [queued]>
[2025-05-31T16:58:46.597+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:45:00+00:00 [queued]>
[2025-05-31T16:58:46.599+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T16:58:47.170+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:45:00+00:00
[2025-05-31T16:58:47.333+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=923) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T16:58:48.461+0000] {standard_task_runner.py:72} INFO - Started process 931 to run task
[2025-05-31T16:58:47.333+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:45:00+00:00', '--job-id', '222', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp9bra2mm_']
[2025-05-31T16:58:48.465+0000] {standard_task_runner.py:105} INFO - Job 222: Subtask start_log_producer
[2025-05-31T16:58:48.482+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:58:49.213+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:45:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T16:58:49.214+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:58:49.308+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:45:00+00:00'
[2025-05-31T16:58:49.310+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T16:58:49.325+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T16:58:50.248+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T16:58:50.849+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T16:58:53.162+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:53', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:58:55.942+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:55', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:58:57.943+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:57', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:58:59.943+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:59:01.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:01', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:03.943+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:03', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:59:05.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:05', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:59:07.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:07', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:09.945+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:59:11.945+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:59:13.946+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:13', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:59:15.946+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:15', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T16:59:18.047+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:18', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:59:20.048+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:20', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:59:22.048+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:22', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:24.049+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:24', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:26.049+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:26', 'level': 'INFO', 'message': 'Page loaded'}
