[2025-05-31T17:25:50.775+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:25:50.794+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:45:00+00:00 [queued]>
[2025-05-31T17:25:50.805+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:45:00+00:00 [queued]>
[2025-05-31T17:25:50.806+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-31T17:25:50.824+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:45:00+00:00
[2025-05-31T17:25:50.900+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1091) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:25:50.902+0000] {standard_task_runner.py:72} INFO - Started process 1096 to run task
[2025-05-31T17:25:51.806+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:45:00+00:00', '--job-id', '230', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp76a7wur7']
[2025-05-31T17:25:51.809+0000] {standard_task_runner.py:105} INFO - Job 230: Subtask start_log_producer
[2025-05-31T17:25:52.001+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:52.046+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:45:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:25:52.048+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:52.169+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:45:00+00:00'
[2025-05-31T17:25:52.218+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:25:52.346+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:25:52.348+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:25:52.359+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:25:54.239+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:54', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:25:56.345+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:56', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:25:58.346+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:58', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:00.346+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:00', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:02.347+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:02', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:04.348+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:04', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:06.349+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:08.349+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:08', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:10.350+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:12.350+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:12', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:14.347+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:16.347+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:18.347+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:18', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:20.348+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:20', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:22.348+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:22', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:24.349+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:24', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:26.383+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:26', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:28.389+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:28', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:30.389+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:30', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:32.390+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:32', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:34.390+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:36.391+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:36', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:38.391+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:38', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:40.423+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:40', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:42.476+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:42', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:44.472+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:44', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:46.543+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:46', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:48.599+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:48', 'level': 'ERROR', 'message': 'Database connection failed'}
