[2025-05-31T16:58:44.950+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T16:58:44.967+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:50:00+00:00 [queued]>
[2025-05-31T16:58:44.976+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:50:00+00:00 [queued]>
[2025-05-31T16:58:44.977+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T16:58:44.996+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:50:00+00:00
[2025-05-31T16:58:45.005+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=927) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T16:58:45.006+0000] {standard_task_runner.py:72} INFO - Started process 928 to run task
[2025-05-31T16:58:45.004+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:50:00+00:00', '--job-id', '221', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpkxps5i24']
[2025-05-31T16:58:45.007+0000] {standard_task_runner.py:105} INFO - Job 221: Subtask start_log_producer
[2025-05-31T16:58:45.026+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:58:45.068+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:50:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T16:58:45.071+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T16:58:45.561+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:50:00+00:00'
[2025-05-31T16:58:45.562+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T16:58:45.946+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T16:58:45.948+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T16:58:45.958+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T16:58:53.276+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:53', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:58:55.423+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:55', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:58:57.424+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:58:59.424+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:58:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:59:01.425+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:01', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T16:59:03.424+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:03', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:59:05.554+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:05', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T16:59:07.555+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:07', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:09.555+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:09', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:11.555+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:11', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T16:59:13.556+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:13', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T16:59:15.556+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:17.557+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:17', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:19.557+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:19', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:21.558+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:21', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T16:59:23.558+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:23', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T16:59:25.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 16:59:25', 'level': 'INFO', 'message': 'User logged in'}
