[2025-05-31T17:25:52.538+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:25:52.603+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:50:00+00:00 [queued]>
[2025-05-31T17:25:52.614+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:50:00+00:00 [queued]>
[2025-05-31T17:25:52.615+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-31T17:25:52.794+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:50:00+00:00
[2025-05-31T17:25:52.809+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1094) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:25:52.811+0000] {standard_task_runner.py:72} INFO - Started process 1101 to run task
[2025-05-31T17:25:52.809+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:50:00+00:00', '--job-id', '231', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpz91dczqm']
[2025-05-31T17:25:52.812+0000] {standard_task_runner.py:105} INFO - Job 231: Subtask start_log_producer
[2025-05-31T17:25:52.892+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:52.943+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:50:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:25:52.945+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:53.043+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:50:00+00:00'
[2025-05-31T17:25:53.044+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:25:53.064+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:25:53.066+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:25:53.077+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:25:54.838+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:54', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:56.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:25:58.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:58', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:00.945+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:00', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:02.945+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:02', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:04.946+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:06.947+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:06', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:08.947+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:08', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:10.948+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:12.948+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:14.945+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:16.945+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:16', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:18.946+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:18', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:20.946+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:20', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:22.946+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:25.005+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:25', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:27.006+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
