[2025-05-31T17:00:04.132+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:00:04.149+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:55:00+00:00 [queued]>
[2025-05-31T17:00:04.161+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:55:00+00:00 [queued]>
[2025-05-31T17:00:04.161+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:00:04.181+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 16:55:00+00:00
[2025-05-31T17:00:04.191+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=948) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:00:04.192+0000] {standard_task_runner.py:72} INFO - Started process 949 to run task
[2025-05-31T17:00:04.192+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T16:55:00+00:00', '--job-id', '223', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmprj00paj2']
[2025-05-31T17:00:04.196+0000] {standard_task_runner.py:105} INFO - Job 223: Subtask start_log_producer
[2025-05-31T17:00:04.216+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:00:04.255+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T16:55:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:00:04.258+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:00:04.360+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T16:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T16:55:00+00:00'
[2025-05-31T17:00:04.361+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:00:04.378+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:00:04.379+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:00:04.387+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:00:05.396+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:05', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:07.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:07', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:09.622+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:09', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:00:11.623+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:13.623+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:13', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:15.624+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:15', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:00:17.624+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:17', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:19.625+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:00:21.625+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:00:23.626+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:00:25.626+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:25', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:00:27.627+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:00:29.627+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:29', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:31.628+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:00:33.625+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:33', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:00:35.626+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:35', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:00:37.626+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:00:37', 'level': 'WARNING', 'message': 'High memory usage'}
